GLPSOL--GLPK LP/MIP Solver 5.0
Parameter(s) specified in the command line:
 --lp input/ca-HepPh.html/ca-HepPh.txt.gz.260.lp -o input/ca-HepPh.html/ca-HepPh.txt.gz.260.lp.sol
Reading problem data from 'input/ca-HepPh.html/ca-HepPh.txt.gz.260.lp'...
236981 rows, 485962 columns, 1184892 non-zeros
485962 integer variables, all of which are binary
722948 lines were read
GLPK Integer Optimizer 5.0
236981 rows, 485962 columns, 1184892 non-zeros
485962 integer variables, all of which are binary
Preprocessing...
236222 rows, 485203 columns, 1181105 non-zeros
485203 integer variables, all of which are binary
Scaling...
 A: min|aij| =  1.000e+00  max|aij| =  1.000e+00  ratio =  1.000e+00
Problem data seem to be well scaled
Constructing initial basis...
Size of triangular part is 236222
Solving LP relaxation...
GLPK Simplex Optimizer 5.0
236222 rows, 485203 columns, 1181105 non-zeros
      0: obj =   0.000000000e+00 inf =   2.660e+02 (266)
    266: obj =   2.133625270e+02 inf =   0.000e+00 (0)
Perturbing LP to avoid stalling [471]...
*   736: obj =   2.047657850e+02 inf =   0.000e+00 (359) 3
*  1149: obj =   2.047657850e+02 inf =   0.000e+00 (341) 4
*  1530: obj =   2.047657850e+02 inf =   0.000e+00 (352) 4
*  1877: obj =   2.047657850e+02 inf =   0.000e+00 (368) 3
*  2215: obj =   2.047657850e+02 inf =   0.000e+00 (362) 3
*  2551: obj =   2.047657850e+02 inf =   0.000e+00 (366) 4
*  2895: obj =   2.047657850e+02 inf =   0.000e+00 (384) 3
*  3228: obj =   2.047657850e+02 inf =   0.000e+00 (385) 3
*  3565: obj =   2.047657850e+02 inf =   0.000e+00 (372) 3
*  3888: obj =   2.047657850e+02 inf =   0.000e+00 (360) 4
*  4218: obj =   2.047657850e+02 inf =   0.000e+00 (375) 3
*  4558: obj =   2.047657850e+02 inf =   0.000e+00 (364) 3
*  4895: obj =   2.047657850e+02 inf =   0.000e+00 (355) 3
*  5244: obj =   2.047657850e+02 inf =   0.000e+00 (386) 4
*  5569: obj =   2.047657850e+02 inf =   0.000e+00 (387) 3
*  5894: obj =   2.047657850e+02 inf =   0.000e+00 (373) 3
*  6209: obj =   2.047657850e+02 inf =   0.000e+00 (381) 3
*  6530: obj =   2.047657850e+02 inf =   0.000e+00 (428) 3
*  6845: obj =   2.047657850e+02 inf =   0.000e+00 (371) 3
*  7155: obj =   2.047657850e+02 inf =   0.000e+00 (387) 3
*  7468: obj =   2.047657850e+02 inf =   0.000e+00 (418) 3
*  7778: obj =   2.047657850e+02 inf =   0.000e+00 (396) 3
*  8083: obj =   2.047657850e+02 inf =   0.000e+00 (391) 3
*  8420: obj =   2.047657850e+02 inf =   0.000e+00 (401) 3
*  8744: obj =   2.047657850e+02 inf =   0.000e+00 (399) 3
*  9057: obj =   2.047657850e+02 inf =   0.000e+00 (416) 3
*  9367: obj =   2.047657850e+02 inf =   0.000e+00 (458) 3
*  9683: obj =   2.047657850e+02 inf =   0.000e+00 (444) 3
*  9992: obj =   2.047657850e+02 inf =   0.000e+00 (450) 4
* 10302: obj =   2.047657850e+02 inf =   0.000e+00 (461) 3
* 10617: obj =   2.047657850e+02 inf =   0.000e+00 (402) 3
* 10925: obj =   2.047657850e+02 inf =   0.000e+00 (387) 3
* 11232: obj =   2.047657850e+02 inf =   0.000e+00 (413) 3
* 11540: obj =   2.047657850e+02 inf =   0.000e+00 (408) 3
* 11854: obj =   2.047657850e+02 inf =   0.000e+00 (431) 3
* 12168: obj =   2.047657850e+02 inf =   0.000e+00 (438) 3
* 12483: obj =   2.047657850e+02 inf =   0.000e+00 (412) 3
* 12792: obj =   2.047657850e+02 inf =   0.000e+00 (462) 3
* 13097: obj =   2.047657850e+02 inf =   0.000e+00 (461) 3
* 13408: obj =   2.047657850e+02 inf =   0.000e+00 (453) 3
* 13727: obj =   2.047657850e+02 inf =   0.000e+00 (396) 3
* 14037: obj =   2.047657850e+02 inf =   0.000e+00 (389) 3
* 14344: obj =   2.047657850e+02 inf =   0.000e+00 (453) 3
* 14652: obj =   2.047657850e+02 inf =   0.000e+00 (422) 3
* 14960: obj =   2.047657850e+02 inf =   0.000e+00 (444) 3
* 15263: obj =   2.047657850e+02 inf =   0.000e+00 (443) 3
* 15568: obj =   2.047657850e+02 inf =   0.000e+00 (466) 3
* 15875: obj =   2.047657850e+02 inf =   0.000e+00 (469) 3
* 16192: obj =   2.047657850e+02 inf =   0.000e+00 (442) 3
* 16499: obj =   2.047657850e+02 inf =   0.000e+00 (467) 3
* 16801: obj =   2.047657850e+02 inf =   0.000e+00 (486) 3
* 17105: obj =   2.047657850e+02 inf =   0.000e+00 (432) 3
* 17407: obj =   2.047657850e+02 inf =   0.000e+00 (489) 3
* 17708: obj =   2.047657850e+02 inf =   0.000e+00 (471) 3
* 18016: obj =   2.047657850e+02 inf =   0.000e+00 (477) 3
* 18342: obj =   2.047657850e+02 inf =   0.000e+00 (492) 3
* 18642: obj =   2.047657850e+02 inf =   0.000e+00 (448) 3
* 18937: obj =   2.047657850e+02 inf =   0.000e+00 (475) 3
* 19262: obj =   2.047657850e+02 inf =   0.000e+00 (489) 3
* 19565: obj =   2.047657850e+02 inf =   0.000e+00 (456) 3
* 19865: obj =   2.047657850e+02 inf =   0.000e+00 (437) 3
* 20166: obj =   2.047657850e+02 inf =   0.000e+00 (484) 3
* 20471: obj =   2.047657850e+02 inf =   0.000e+00 (450) 3
* 20773: obj =   2.047657850e+02 inf =   0.000e+00 (495) 3
* 21076: obj =   2.047657850e+02 inf =   0.000e+00 (436) 2
* 21365: obj =   2.047657850e+02 inf =   0.000e+00 (418) 3
* 21667: obj =   2.047657850e+02 inf =   0.000e+00 (450) 3
* 21977: obj =   2.047657850e+02 inf =   0.000e+00 (422) 3
* 22279: obj =   2.047657850e+02 inf =   0.000e+00 (424) 3
* 22576: obj =   2.047657850e+02 inf =   0.000e+00 (465) 3
* 22882: obj =   2.047657850e+02 inf =   0.000e+00 (453) 3
* 23179: obj =   2.047657850e+02 inf =   0.000e+00 (493) 3
* 23475: obj =   2.047657850e+02 inf =   0.000e+00 (553) 3
* 23774: obj =   2.047657850e+02 inf =   0.000e+00 (443) 3
* 24071: obj =   2.047657850e+02 inf =   0.000e+00 (497) 3
* 24362: obj =   2.047657850e+02 inf =   0.000e+00 (447) 3
* 24650: obj =   2.047657850e+02 inf =   0.000e+00 (391) 3
* 24955: obj =   2.047657850e+02 inf =   0.000e+00 (458) 3
* 25258: obj =   2.047657850e+02 inf =   0.000e+00 (477) 3
* 25560: obj =   2.047657850e+02 inf =   0.000e+00 (431) 2
* 25860: obj =   2.047657850e+02 inf =   0.000e+00 (465) 3
* 26149: obj =   2.047657850e+02 inf =   0.000e+00 (444) 3
* 26438: obj =   2.047657850e+02 inf =   0.000e+00 (493) 3
* 26739: obj =   2.047657850e+02 inf =   0.000e+00 (440) 3
* 27030: obj =   2.047657850e+02 inf =   0.000e+00 (414) 3
* 27335: obj =   2.047657850e+02 inf =   0.000e+00 (504) 3
* 27635: obj =   2.047657850e+02 inf =   0.000e+00 (462) 3
* 27930: obj =   2.047657850e+02 inf =   0.000e+00 (459) 3
* 28219: obj =   2.047657850e+02 inf =   0.000e+00 (433) 2
* 28508: obj =   2.047657850e+02 inf =   0.000e+00 (544) 3
* 28802: obj =   2.047657850e+02 inf =   0.000e+00 (476) 3
* 29090: obj =   2.047657850e+02 inf =   0.000e+00 (486) 3
* 29376: obj =   2.047657850e+02 inf =   0.000e+00 (489) 3
* 29674: obj =   2.047657850e+02 inf =   0.000e+00 (506) 3
* 29973: obj =   2.047657850e+02 inf =   0.000e+00 (531) 2
* 30264: obj =   2.047657850e+02 inf =   0.000e+00 (457) 3
* 30554: obj =   2.047657850e+02 inf =   0.000e+00 (421) 3
* 30848: obj =   2.047657850e+02 inf =   0.000e+00 (432) 3
* 31130: obj =   2.047657850e+02 inf =   0.000e+00 (434) 3
* 31418: obj =   2.047657850e+02 inf =   0.000e+00 (506) 2
* 31712: obj =   2.047657850e+02 inf =   0.000e+00 (474) 3
* 32000: obj =   2.047657850e+02 inf =   0.000e+00 (503) 3
* 32294: obj =   2.047657850e+02 inf =   0.000e+00 (517) 3
* 32589: obj =   2.047657850e+02 inf =   0.000e+00 (476) 3
* 32877: obj =   2.047657850e+02 inf =   0.000e+00 (429) 3
* 33173: obj =   2.047657850e+02 inf =   0.000e+00 (426) 3
* 33466: obj =   2.047657850e+02 inf =   0.000e+00 (404) 2
* 33755: obj =   2.047657850e+02 inf =   0.000e+00 (503) 3
* 34057: obj =   2.047657850e+02 inf =   0.000e+00 (439) 3
