GLPSOL--GLPK LP/MIP Solver 5.0
Parameter(s) specified in the command line:
 --lp input/ego-Gplus.html/gplus_combined.txt.gz.3535.lp -o input/ego-Gplus.html/gplus_combined.txt.gz.3535.lp.sol
Reading problem data from 'input/ego-Gplus.html/gplus_combined.txt.gz.3535.lp'...
13673456 rows, 27454520 columns, 68367267 non-zeros
27454520 integer variables, all of which are binary
41127981 lines were read
GLPK Integer Optimizer 5.0
13673456 rows, 27454520 columns, 68367267 non-zeros
27454520 integer variables, all of which are binary
Preprocessing...
1 hidden packing inequaliti(es) were detected
13667439 rows, 27448477 columns, 68321094 non-zeros
27448477 integer variables, all of which are binary
Scaling...
 A: min|aij| =  1.000e+00  max|aij| =  1.000e+00  ratio =  1.000e+00
Problem data seem to be well scaled
Constructing initial basis...
Size of triangular part is 13667439
Solving LP relaxation...
GLPK Simplex Optimizer 5.0
13667439 rows, 27448477 columns, 68321094 non-zeros
      0: obj =   0.000000000e+00 inf =   1.706e+04 (17055)
      6: obj =   6.999140000e+00 inf =   1.705e+04 (17049)
     12: obj =   1.335385100e+01 inf =   1.704e+04 (17043)
     18: obj =   2.018968000e+01 inf =   1.704e+04 (17037)
     24: obj =   2.659943000e+01 inf =   1.703e+04 (17031)
     30: obj =   3.353177100e+01 inf =   1.702e+04 (17025)
     36: obj =   4.002980400e+01 inf =   1.702e+04 (17019)
     42: obj =   4.718171900e+01 inf =   1.701e+04 (17013)
     48: obj =   5.366500800e+01 inf =   1.701e+04 (17007)
     54: obj =   5.993794800e+01 inf =   1.700e+04 (17001)
     60: obj =   6.639921200e+01 inf =   1.700e+04 (16995)
     66: obj =   7.313726100e+01 inf =   1.699e+04 (16989)
     72: obj =   7.951309300e+01 inf =   1.698e+04 (16983)
     78: obj =   8.617769400e+01 inf =   1.698e+04 (16977)
     84: obj =   9.358871000e+01 inf =   1.697e+04 (16971)
     90: obj =   9.988213900e+01 inf =   1.696e+04 (16965)
     96: obj =   1.066290070e+02 inf =   1.696e+04 (16959)
    102: obj =   1.131405170e+02 inf =   1.695e+04 (16953)
    108: obj =   1.197178310e+02 inf =   1.695e+04 (16947)
    114: obj =   1.260773340e+02 inf =   1.694e+04 (16941)
    120: obj =   1.330428250e+02 inf =   1.694e+04 (16935)
    126: obj =   1.395574100e+02 inf =   1.693e+04 (16929)
    132: obj =   1.458041650e+02 inf =   1.692e+04 (16923)
    138: obj =   1.521394730e+02 inf =   1.692e+04 (16917)
    144: obj =   1.587540540e+02 inf =   1.691e+04 (16911)
    150: obj =   1.654268860e+02 inf =   1.690e+04 (16905)
    156: obj =   1.724630230e+02 inf =   1.690e+04 (16899)
    162: obj =   1.796643720e+02 inf =   1.689e+04 (16893)
    168: obj =   1.861255460e+02 inf =   1.689e+04 (16887)
    174: obj =   1.925928710e+02 inf =   1.688e+04 (16881)
    180: obj =   1.990976420e+02 inf =   1.688e+04 (16875)
    186: obj =   2.059806410e+02 inf =   1.687e+04 (16869)
    192: obj =   2.127395850e+02 inf =   1.686e+04 (16863)
    198: obj =   2.204570100e+02 inf =   1.686e+04 (16857)
    204: obj =   2.271310180e+02 inf =   1.685e+04 (16851)
    210: obj =   2.343409130e+02 inf =   1.684e+04 (16845)
    216: obj =   2.406486320e+02 inf =   1.684e+04 (16839)
    222: obj =   2.476656820e+02 inf =   1.683e+04 (16833)
    228: obj =   2.541488350e+02 inf =   1.683e+04 (16827)
    234: obj =   2.606229420e+02 inf =   1.682e+04 (16821)
    240: obj =   2.674644240e+02 inf =   1.682e+04 (16815)
    246: obj =   2.746733250e+02 inf =   1.681e+04 (16809)
    252: obj =   2.814466050e+02 inf =   1.680e+04 (16803)
    258: obj =   2.878558130e+02 inf =   1.680e+04 (16797)
    264: obj =   2.951433170e+02 inf =   1.679e+04 (16791)
    270: obj =   3.022270770e+02 inf =   1.678e+04 (16785)
    276: obj =   3.090506040e+02 inf =   1.678e+04 (16779)
    282: obj =   3.157983760e+02 inf =   1.677e+04 (16773)
    288: obj =   3.221359900e+02 inf =   1.677e+04 (16767)
    294: obj =   3.295514840e+02 inf =   1.676e+04 (16761)
    300: obj =   3.357691600e+02 inf =   1.676e+04 (16755)
    306: obj =   3.421794980e+02 inf =   1.675e+04 (16749)
    312: obj =   3.487715550e+02 inf =   1.674e+04 (16743)
    318: obj =   3.553087550e+02 inf =   1.674e+04 (16737)
    324: obj =   3.617304900e+02 inf =   1.673e+04 (16731)
    330: obj =   3.682449860e+02 inf =   1.672e+04 (16725)
    336: obj =   3.754035950e+02 inf =   1.672e+04 (16719)
    342: obj =   3.823956360e+02 inf =   1.671e+04 (16713)
    348: obj =   3.888614670e+02 inf =   1.671e+04 (16707)
    354: obj =   3.951053730e+02 inf =   1.670e+04 (16701)
    360: obj =   4.014833300e+02 inf =   1.670e+04 (16695)
    366: obj =   4.082460270e+02 inf =   1.669e+04 (16689)
    372: obj =   4.144468770e+02 inf =   1.668e+04 (16683)
    378: obj =   4.209075980e+02 inf =   1.668e+04 (16677)
    384: obj =   4.275548310e+02 inf =   1.667e+04 (16671)
    390: obj =   4.340627680e+02 inf =   1.666e+04 (16665)
    396: obj =   4.404990230e+02 inf =   1.666e+04 (16659)
    402: obj =   4.467293160e+02 inf =   1.665e+04 (16653)
    408: obj =   4.535622500e+02 inf =   1.665e+04 (16647)
    414: obj =   4.600133370e+02 inf =   1.664e+04 (16641)
    420: obj =   4.663513140e+02 inf =   1.664e+04 (16635)
