GLPSOL--GLPK LP/MIP Solver 5.0
Parameter(s) specified in the command line:
 --lp input/higgs-twitter.html/higgs-mention_network.edgelist.gz.48.lp -o
 input/higgs-twitter.html/higgs-mention_network.edgelist.gz.48.lp.sol
Reading problem data from 'input/higgs-twitter.html/higgs-mention_network.edgelist.gz.48.lp'...
145468 rows, 406614 columns, 727327 non-zeros
406614 integer variables, all of which are binary
552087 lines were read
GLPK Integer Optimizer 5.0
145468 rows, 406614 columns, 727327 non-zeros
406614 integer variables, all of which are binary
Preprocessing...
1 hidden packing inequaliti(es) were detected
145437 rows, 406583 columns, 715089 non-zeros
406583 integer variables, all of which are binary
Scaling...
 A: min|aij| =  1.000e+00  max|aij| =  1.000e+00  ratio =  1.000e+00
Problem data seem to be well scaled
Constructing initial basis...
Size of triangular part is 145437
Solving LP relaxation...
GLPK Simplex Optimizer 5.0
145437 rows, 406583 columns, 715089 non-zeros
      0: obj =   0.000000000e+00 inf =   1.195e+04 (11952)
    633: obj =   1.427000000e+03 inf =   1.132e+04 (11319)
   1286: obj =   2.516000000e+03 inf =   1.067e+04 (10666)
   1925: obj =   3.527000000e+03 inf =   1.003e+04 (10027)
   2558: obj =   4.485000000e+03 inf =   9.394e+03 (9394)
   3175: obj =   5.322000000e+03 inf =   8.777e+03 (8777)
   3812: obj =   6.175000000e+03 inf =   8.140e+03 (8140)
   4461: obj =   6.992000000e+03 inf =   7.491e+03 (7491)
   5108: obj =   7.821000000e+03 inf =   6.844e+03 (6844)
   5782: obj =   8.639000000e+03 inf =   6.170e+03 (6170)
   6380: obj =   9.341000000e+03 inf =   5.572e+03 (5572)
   7016: obj =   1.011400000e+04 inf =   4.936e+03 (4936)
   7650: obj =   1.085500000e+04 inf =   4.302e+03 (4302)
   8297: obj =   1.161100000e+04 inf =   3.655e+03 (3655)
   8889: obj =   1.229700000e+04 inf =   3.063e+03 (3063)
   9623: obj =   1.312400000e+04 inf =   2.329e+03 (2329)
  10262: obj =   1.382800000e+04 inf =   1.690e+03 (1690)
  10975: obj =   1.460900000e+04 inf =   9.770e+02 (977)
  11539: obj =   1.522800000e+04 inf =   4.130e+02 (413)
  11952: obj =   1.568200000e+04 inf =   0.000e+00 (0)
Perturbing LP to avoid stalling [12160]...
* 12593: obj =   1.521800000e+04 inf =   0.000e+00 (11965) 5
* 13170: obj =   1.521800000e+04 inf =   0.000e+00 (11963) 6
* 13721: obj =   1.506000000e+04 inf =   0.000e+00 (11968) 5
* 14279: obj =   1.499400000e+04 inf =   0.000e+00 (12000) 5
* 14868: obj =   1.477600000e+04 inf =   0.000e+00 (16301) 4
* 15484: obj =   1.451500000e+04 inf =   0.000e+00 (12292) 4
* 16034: obj =   1.451500000e+04 inf =   0.000e+00 (12398) 5
* 16533: obj =   1.451500000e+04 inf =   0.000e+00 (12383) 5
* 17081: obj =   1.441500000e+04 inf =   0.000e+00 (12441) 4
* 17580: obj =   1.441500000e+04 inf =   0.000e+00 (12405) 5
* 18072: obj =   1.441500000e+04 inf =   0.000e+00 (12366) 5
* 18547: obj =   1.441500000e+04 inf =   0.000e+00 (12357) 4
* 18995: obj =   1.441500000e+04 inf =   0.000e+00 (12338) 5
* 19427: obj =   1.441500000e+04 inf =   0.000e+00 (12329) 4
* 19906: obj =   1.440799998e+04 inf =   5.393e-06 (19712) 5
* 20417: obj =   1.440799998e+04 inf =   5.488e-06 (19455) 3
* 20994: obj =   1.434399998e+04 inf =   5.410e-06 (18844) 4
* 21471: obj =   1.414699998e+04 inf =   5.538e-06 (18430) 4
* 22027: obj =   1.414699998e+04 inf =   6.059e-06 (18044) 1
* 22564: obj =   1.414000001e+04 inf =   2.010e-04 (12991) 5
* 23100: obj =   1.411099996e+04 inf =   2.549e-04 (17296) 2
* 23651: obj =   1.406799994e+04 inf =   4.243e-04 (16946) 4
* 24217: obj =   1.406199986e+04 inf =   1.725e-03 (16341) 2
* 24714: obj =   1.406199966e+04 inf =   5.240e-03 (16245) 4
* 25285: obj =   1.406199962e+04 inf =   5.439e-03 (15652) 4
* 25774: obj =   1.405600003e+04 inf =   5.469e-03 (13293) 2
* 26317: obj =   1.401799999e+04 inf =   5.742e-03 (13303) 3
* 26871: obj =   1.400999946e+04 inf =   5.716e-03 (13810) 1
* 27368: obj =   1.400999932e+04 inf =   1.391e-02 (13564) 3
* 27819: obj =   1.400999902e+04 inf =   2.328e-02 (13508) 5
* 28311: obj =   1.400999893e+04 inf =   2.398e-02 (13467) 4
* 28831: obj =   1.398699881e+04 inf =   2.765e-02 (13197) 4
* 29330: obj =   1.398699854e+04 inf =   3.899e-02 (12923) 4
* 29768: obj =   1.396699850e+04 inf =   4.899e-02 (12919) 4
* 30163: obj =   1.396699833e+04 inf =   6.290e-02 (12925) 3
* 30523: obj =   1.396699817e+04 inf =   7.375e-02 (12917) 4
* 30947: obj =   1.396099956e+04 inf =   7.912e-02 (13505) 4
* 31385: obj =   1.396099923e+04 inf =   1.046e-01 (13466) 4
* 31775: obj =   1.396099905e+04 inf =   1.134e-01 (13589) 4
* 32212: obj =   1.395299823e+04 inf =   1.028e-01 (13357) 4
* 32610: obj =   1.395299741e+04 inf =   8.024e-02 (13146) 4
* 33032: obj =   1.395299713e+04 inf =   7.310e-02 (13041) 4
* 33446: obj =   1.394399882e+04 inf =   8.763e-02 (13453) 4
* 33821: obj =   1.394399850e+04 inf =   9.771e-02 (13735) 3
* 34176: obj =   1.394399834e+04 inf =   9.991e-02 (13668) 4
* 34488: obj =   1.394399822e+04 inf =   1.001e-01 (13648) 3
* 34913: obj =   1.383599844e+04 inf =   9.955e-02 (13705) 3
* 35329: obj =   1.383599714e+04 inf =   8.168e-02 (13603) 4
* 35692: obj =   1.383599607e+04 inf =   6.255e-02 (13417) 3
* 36097: obj =   1.383599524e+04 inf =   3.843e-02 (13229) 4
* 36526: obj =   1.382500441e+04 inf =   4.851e-02 (157693) 4
* 36840: obj =   1.382500423e+04 inf =   5.080e-02 (157674) 3
* 37235: obj =   1.382500229e+04 inf =   7.215e-02 (157741) 4
* 37601: obj =   1.382500114e+04 inf =   7.783e-02 (157818) 4
* 37944: obj =   1.382499850e+04 inf =   8.850e-02 (14141) 3
* 38325: obj =   1.382499844e+04 inf =   8.802e-02 (14071) 4
* 38733: obj =   1.382499816e+04 inf =   8.550e-02 (14269) 3
* 39180: obj =   1.382499678e+04 inf =   7.556e-02 (14093) 5
* 39606: obj =   1.382499490e+04 inf =   5.359e-02 (13905) 4
* 40079: obj =   1.382499396e+04 inf =   4.318e-02 (13752) 4
* 40605: obj =   1.360899385e+04 inf =   4.518e-02 (13444) 4
* 41161: obj =   1.358899361e+04 inf =   4.373e-02 (12875) 2
* 41581: obj =   1.358899345e+04 inf =   5.266e-02 (12839) 3
* 42006: obj =   1.355699847e+04 inf =   5.946e-02 (12570) 4
* 42371: obj =   1.355699834e+04 inf =   7.397e-02 (12571) 4
* 42739: obj =   1.355699824e+04 inf =   8.253e-02 (12541) 3
* 43106: obj =   1.355699806e+04 inf =   9.496e-02 (12551) 4
* 43463: obj =   1.355699785e+04 inf =   1.121e-01 (12555) 3
* 43813: obj =   1.355699780e+04 inf =   1.151e-01 (12591) 3
* 44187: obj =   1.355699757e+04 inf =   1.300e-01 (12547) 4
* 44563: obj =   1.355699754e+04 inf =   1.298e-01 (12528) 3
* 44936: obj =   1.355699754e+04 inf =   1.278e-01 (12548) 3
* 45299: obj =   1.355699741e+04 inf =   1.357e-01 (12550) 4
* 45665: obj =   1.355699740e+04 inf =   1.348e-01 (12573) 3
* 46033: obj =   1.355699740e+04 inf =   1.321e-01 (12563) 4
* 46410: obj =   1.355699717e+04 inf =   1.453e-01 (12597) 3
* 46726: obj =   1.355699716e+04 inf =   1.440e-01 (12595) 3
* 47064: obj =   1.355699708e+04 inf =   1.459e-01 (12586) 3
* 47426: obj =   1.355699699e+04 inf =   1.499e-01 (12591) 4
* 47787: obj =   1.355699698e+04 inf =   1.475e-01 (12592) 3
* 48111: obj =   1.355699698e+04 inf =   1.438e-01 (12588) 3
* 48468: obj =   1.355699694e+04 inf =   1.430e-01 (12599) 3
* 48820: obj =   1.355699692e+04 inf =   1.417e-01 (12594) 4
* 49154: obj =   1.355699687e+04 inf =   1.426e-01 (12609) 3
* 49481: obj =   1.355699683e+04 inf =   1.418e-01 (12615) 3
* 49827: obj =   1.355699680e+04 inf =   1.419e-01 (12623) 3
* 50185: obj =   1.355699679e+04 inf =   1.388e-01 (12623) 3
* 50530: obj =   1.355699663e+04 inf =   1.441e-01 (12618) 4
* 50881: obj =   1.355699655e+04 inf =   1.439e-01 (12584) 3
* 51211: obj =   1.355699652e+04 inf =   1.426e-01 (12591) 3
* 51570: obj =   1.355699649e+04 inf =   1.398e-01 (12620) 3
* 51899: obj =   1.355699644e+04 inf =   1.402e-01 (12625) 4
* 52228: obj =   1.355699644e+04 inf =   1.383e-01 (12620) 3
* 52558: obj =   1.355699641e+04 inf =   1.356e-01 (12620) 3
* 52891: obj =   1.355699637e+04 inf =   1.337e-01 (12604) 3
* 53224: obj =   1.355699634e+04 inf =   1.337e-01 (12630) 3
* 53572: obj =   1.355699628e+04 inf =   1.332e-01 (12649) 3
* 53909: obj =   1.355699624e+04 inf =   1.302e-01 (12638) 4
* 54270: obj =   1.355699620e+04 inf =   1.286e-01 (12628) 3
* 54556: obj =   1.355699610e+04 inf =   1.297e-01 (12625) 3
* 54888: obj =   1.355699609e+04 inf =   1.266e-01 (12619) 3
* 55227: obj =   1.355699606e+04 inf =   1.228e-01 (12634) 3
* 55566: obj =   1.355699597e+04 inf =   1.224e-01 (12628) 3
* 55901: obj =   1.355699595e+04 inf =   1.192e-01 (12638) 4
* 56225: obj =   1.355699588e+04 inf =   1.168e-01 (12643) 3
* 56496: obj =   1.355699586e+04 inf =   1.142e-01 (12645) 2
* 56823: obj =   1.355699586e+04 inf =   1.082e-01 (12633) 3
* 57181: obj =   1.350599578e+04 inf =   1.067e-01 (12605) 4
* 57489: obj =   1.350599577e+04 inf =   1.033e-01 (12621) 3
* 57813: obj =   1.350599576e+04 inf =   9.982e-02 (12611) 3
* 58133: obj =   1.349799576e+04 inf =   9.605e-02 (12600) 3
* 58474: obj =   1.349799574e+04 inf =   9.190e-02 (12624) 3
* 58778: obj =   1.349799571e+04 inf =   8.840e-02 (12599) 3
* 59087: obj =   1.349799571e+04 inf =   8.624e-02 (12606) 3
* 59398: obj =   1.349799566e+04 inf =   8.302e-02 (12623) 3
* 59708: obj =   1.348999590e+04 inf =   7.861e-02 (12622) 3
* 60023: obj =   1.348999589e+04 inf =   7.551e-02 (12616) 3
* 60344: obj =   1.348999589e+04 inf =   7.246e-02 (12607) 3
* 60661: obj =   1.348999589e+04 inf =   6.916e-02 (12618) 3
* 60969: obj =   1.348599592e+04 inf =   6.377e-02 (12596) 3
* 61302: obj =   1.348299482e+04 inf =   6.117e-02 (12606) 3
* 61636: obj =   1.347699492e+04 inf =   6.007e-02 (12554) 3
* 61992: obj =   1.347699480e+04 inf =   6.271e-02 (12575) 4
* 62350: obj =   1.347699472e+04 inf =   6.322e-02 (12542) 3
* 62662: obj =   1.347399456e+04 inf =   6.180e-02 (12547) 3
* 62960: obj =   1.347399453e+04 inf =   5.927e-02 (12549) 3
* 63286: obj =   1.347099414e+04 inf =   5.717e-02 (12573) 3
* 63648: obj =   1.347099379e+04 inf =   5.588e-02 (12510) 4
* 64030: obj =   1.346632598e+04 inf =   5.615e-02 (13278) 3
* 64345: obj =   1.346632579e+04 inf =   5.702e-02 (13240) 3
* 64690: obj =   1.344099332e+04 inf =   5.737e-02 (13077) 4
* 65125: obj =   1.341099084e+04 inf =   5.740e-02 (13061) 3
* 65500: obj =   1.341099047e+04 inf =   6.268e-02 (13006) 4
* 65865: obj =   1.341099023e+04 inf =   6.596e-02 (12973) 4
* 66217: obj =   1.340849228e+04 inf =   6.525e-02 (13046) 3
* 66543: obj =   1.340849222e+04 inf =   6.359e-02 (13015) 3
* 66867: obj =   1.340849215e+04 inf =   6.133e-02 (12979) 3
* 67158: obj =   1.340849211e+04 inf =   5.915e-02 (13000) 3
* 67446: obj =   1.340849205e+04 inf =   5.660e-02 (12965) 3
* 67782: obj =   1.340449203e+04 inf =   5.456e-02 (12932) 3
* 68119: obj =   1.338299368e+04 inf =   5.090e-02 (157637) 3
* 68454: obj =   1.337393258e+04 inf =   4.956e-02 (13009) 4
* 68799: obj =   1.333892829e+04 inf =   4.928e-02 (12755) 2
* 69133: obj =   1.332098763e+04 inf =   4.928e-02 (12552) 3
* 69487: obj =   1.330043230e+04 inf =   4.867e-02 (12557) 3
* 69833: obj =   1.323699498e+04 inf =   4.829e-02 (12529) 3
* 70171: obj =   1.323699352e+04 inf =   4.862e-02 (12502) 3
* 70483: obj =   1.323699295e+04 inf =   4.866e-02 (12475) 3
* 70851: obj =   1.320099294e+04 inf =   4.852e-02 (12418) 4
* 71190: obj =   1.316799293e+04 inf =   5.323e-02 (12400) 3
* 71646: obj =   1.305099331e+04 inf =   5.249e-02 (12434) 3
* 72038: obj =   1.305099318e+04 inf =   5.246e-02 (12408) 3
* 72409: obj =   1.304499309e+04 inf =   5.165e-02 (12416) 4
* 72783: obj =   1.304199286e+04 inf =   5.123e-02 (12382) 3
* 73155: obj =   1.299099232e+04 inf =   5.061e-02 (12419) 4
* 73485: obj =   1.298869594e+04 inf =   5.043e-02 (157361) 3
* 73822: obj =   1.298869585e+04 inf =   4.948e-02 (157410) 3
* 74139: obj =   1.298869513e+04 inf =   4.761e-02 (157425) 3
* 74470: obj =   1.297036012e+04 inf =   4.653e-02 (14664) 3
* 74806: obj =   1.296480117e+04 inf =   4.621e-02 (14588) 3
* 75187: obj =   1.285698851e+04 inf =   4.694e-02 (14515) 3
* 75546: obj =   1.283598839e+04 inf =   4.842e-02 (14491) 3
* 75897: obj =   1.283598825e+04 inf =   4.946e-02 (14471) 4
* 76252: obj =   1.280303603e+04 inf =   4.950e-02 (14408) 3
* 76636: obj =   1.280300607e+04 inf =   5.039e-02 (14216) 4
* 77015: obj =   1.280299955e+04 inf =   5.112e-02 (13983) 4
* 77384: obj =   1.280299693e+04 inf =   5.177e-02 (14594) 3
* 77735: obj =   1.280299679e+04 inf =   5.269e-02 (157507) 4
* 78057: obj =   1.280299666e+04 inf =   5.351e-02 (14409) 3
* 78448: obj =   1.263199670e+04 inf =   5.465e-02 (14310) 3
* 78791: obj =   1.263199655e+04 inf =   5.560e-02 (14277) 3
* 79166: obj =   1.262899650e+04 inf =   5.652e-02 (14126) 4
* 79523: obj =   1.262899625e+04 inf =   5.748e-02 (14077) 4
* 79869: obj =   1.262899592e+04 inf =   5.905e-02 (14011) 3
* 80195: obj =   1.262899573e+04 inf =   6.342e-02 (13949) 3
* 80539: obj =   1.262224572e+04 inf =   6.998e-02 (13914) 3
* 80869: obj =   1.262224558e+04 inf =   7.559e-02 (13850) 4
* 81198: obj =   1.261024552e+04 inf =   7.827e-02 (13790) 3
* 81530: obj =   1.261024539e+04 inf =   8.432e-02 (13753) 3
* 81916: obj =   1.260912006e+04 inf =   8.882e-02 (13689) 4
* 82272: obj =   1.259623501e+04 inf =   9.167e-02 (13690) 3
* 82633: obj =   1.259244924e+04 inf =   1.020e-01 (13400) 4
* 82962: obj =   1.259244915e+04 inf =   1.125e-01 (13375) 3
* 83367: obj =   1.257899420e+04 inf =   1.138e-01 (12566) 3
* 83700: obj =   1.257899408e+04 inf =   1.093e-01 (12537) 3
* 83990: obj =   1.257899405e+04 inf =   1.075e-01 (12538) 3
* 84315: obj =   1.257599402e+04 inf =   1.051e-01 (12532) 3
* 84615: obj =   1.257599402e+04 inf =   1.042e-01 (12528) 3
* 84930: obj =   1.257599399e+04 inf =   1.028e-01 (12509) 3
* 85281: obj =   1.255399190e+04 inf =   1.014e-01 (13044) 3
* 85653: obj =   1.255399050e+04 inf =   9.669e-02 (12954) 3
* 85980: obj =   1.255099600e+04 inf =   9.101e-02 (13778) 4
* 86345: obj =   1.254799030e+04 inf =   8.952e-02 (12910) 3
* 86719: obj =   1.254799012e+04 inf =   8.516e-02 (12793) 3
* 87123: obj =   1.254198993e+04 inf =   8.406e-02 (12499) 4
* 87492: obj =   1.254198972e+04 inf =   8.121e-02 (12435) 4
* 87878: obj =   1.254198951e+04 inf =   8.056e-02 (12345) 4
* 88158: obj =   1.254198948e+04 inf =   7.900e-02 (12328) 2
* 88503: obj =   1.254198940e+04 inf =   7.577e-02 (12307) 4
* 88867: obj =   1.254198928e+04 inf =   7.318e-02 (12229) 3
* 89223: obj =   1.252599359e+04 inf =   7.158e-02 (12348) 3
* 89551: obj =   1.252599347e+04 inf =   6.893e-02 (12335) 3
* 89907: obj =   1.252599339e+04 inf =   6.670e-02 (12288) 4
* 90218: obj =   1.252599334e+04 inf =   6.338e-02 (12267) 3
* 90521: obj =   1.250999328e+04 inf =   6.020e-02 (12270) 3
* 90855: obj =   1.250999321e+04 inf =   5.776e-02 (12242) 3
* 91187: obj =   1.250999295e+04 inf =   5.386e-02 (12273) 3
* 91530: obj =   1.250799260e+04 inf =   5.029e-02 (12292) 3
* 91863: obj =   1.249298932e+04 inf =   4.951e-02 (12601) 3
* 92196: obj =   1.247078731e+04 inf =   4.957e-02 (12413) 3
* 92487: obj =   1.247048640e+04 inf =   4.956e-02 (12361) 3
* 92815: obj =   1.247048614e+04 inf =   4.952e-02 (12275) 3
* 93134: obj =   1.245437884e+04 inf =   4.936e-02 (12418) 3
* 93416: obj =   1.242299120e+04 inf =   4.963e-02 (12015) 2
* 93707: obj =   1.242299102e+04 inf =   4.970e-02 (11964) 3
* 94046: obj =   1.241099099e+04 inf =   4.960e-02 (11925) 3
* 94401: obj =   1.238699105e+04 inf =   4.916e-02 (11974) 3
* 94783: obj =   1.235599108e+04 inf =   4.895e-02 (11906) 4
* 95137: obj =   1.224999126e+04 inf =   4.897e-02 (11873) 3
* 95522: obj =   1.224399123e+04 inf =   4.857e-02 (11886) 3
