GLPSOL--GLPK LP/MIP Solver 5.0
Parameter(s) specified in the command line:
 --lp input/gemsec-Facebook.html/new_sites_edges.csv.gz.49.lp -o input/gemsec-Facebook.html/new_sites_edges.csv.gz.49.lp.sol
Reading problem data from 'input/gemsec-Facebook.html/new_sites_edges.csv.gz.49.lp'...
205968 rows, 439849 columns, 1029827 non-zeros
439849 integer variables, all of which are binary
645822 lines were read
GLPK Integer Optimizer 5.0
205968 rows, 439849 columns, 1029827 non-zeros
439849 integer variables, all of which are binary
Preprocessing...
205797 rows, 439678 columns, 1028067 non-zeros
439678 integer variables, all of which are binary
Scaling...
 A: min|aij| =  1.000e+00  max|aij| =  1.000e+00  ratio =  1.000e+00
Problem data seem to be well scaled
Constructing initial basis...
Size of triangular part is 205797
Solving LP relaxation...
GLPK Simplex Optimizer 5.0
205797 rows, 439678 columns, 1028067 non-zeros
      0: obj =   0.000000000e+00 inf =   5.850e+02 (585)
    585: obj =   3.444879820e+02 inf =   0.000e+00 (0)
Perturbing LP to avoid stalling [786]...
*  1214: obj =   3.349121970e+02 inf =   0.000e+00 (1180)
*  1720: obj =   3.349121970e+02 inf =   0.000e+00 (1204) 4
*  2195: obj =   3.349121970e+02 inf =   0.000e+00 (1200) 4
*  2648: obj =   3.349121970e+02 inf =   0.000e+00 (1212) 4
*  3086: obj =   3.349121970e+02 inf =   0.000e+00 (1226) 4
*  3509: obj =   3.349121970e+02 inf =   0.000e+00 (1239) 4
*  3923: obj =   3.349121970e+02 inf =   0.000e+00 (1277) 4
*  4330: obj =   3.349121970e+02 inf =   0.000e+00 (1272) 3
*  4724: obj =   3.349121970e+02 inf =   0.000e+00 (1288) 4
*  5126: obj =   3.259498411e+02 inf =   2.679e-06 (3341) 4
*  5531: obj =   3.252902287e+02 inf =   3.898e-05 (3679) 4
*  5947: obj =   3.252902200e+02 inf =   2.348e-04 (3704) 3
*  6340: obj =   3.252902023e+02 inf =   6.992e-04 (3738) 3
*  6721: obj =   3.252901865e+02 inf =   1.055e-03 (3773) 3
*  7104: obj =   3.252901783e+02 inf =   9.919e-04 (3830) 3
*  7471: obj =   3.252901561e+02 inf =   1.252e-03 (3873) 3
*  7834: obj =   3.252901263e+02 inf =   1.522e-03 (3937) 3
*  8207: obj =   3.231099960e+02 inf =   1.624e-03 (4897) 3
*  8629: obj =   3.231098291e+02 inf =   2.157e-03 (4747) 5
*  9034: obj =   3.231097193e+02 inf =   3.942e-03 (4671) 3
*  9398: obj =   3.231096919e+02 inf =   3.754e-03 (4584) 4
*  9765: obj =   3.231096266e+02 inf =   3.996e-03 (4496) 3
* 10142: obj =   3.231095885e+02 inf =   3.738e-03 (4452) 3
* 10497: obj =   3.231095149e+02 inf =   4.263e-03 (4388) 3
* 10848: obj =   3.231094604e+02 inf =   4.215e-03 (4348) 4
* 11201: obj =   3.231093907e+02 inf =   3.586e-03 (4363) 3
* 11545: obj =   3.231092806e+02 inf =   2.390e-03 (4370) 3
* 11897: obj =   3.193592949e+02 inf =   2.034e-03 (4650) 3
* 12245: obj =   3.193591664e+02 inf =   1.975e-03 (4538) 4
* 12595: obj =   3.173919276e+02 inf =   1.730e-03 (4376) 3
* 12950: obj =   3.123707898e+02 inf =   1.543e-03 (4257) 3
* 13302: obj =   3.086170963e+02 inf =   1.430e-03 (4139) 3
* 13658: obj =   3.045208262e+02 inf =   1.707e-03 (4402) 3
* 14005: obj =   3.045204268e+02 inf =   2.119e-03 (4379) 4
* 14354: obj =   3.045202839e+02 inf =   2.445e-03 (4253) 3
* 14739: obj =   3.027113391e+02 inf =   3.621e-03 (4112) 3
* 15111: obj =   3.015530281e+02 inf =   3.476e-03 (4101) 4
* 15490: obj =   3.015529397e+02 inf =   3.298e-03 (4076) 4
* 15843: obj =   3.015529190e+02 inf =   2.877e-03 (3991) 3
* 16209: obj =   2.965752413e+02 inf =   2.565e-03 (3417) 3
* 16558: obj =   2.909509082e+02 inf =   2.629e-03 (3264) 3
* 16904: obj =   2.888699721e+02 inf =   3.576e-03 (3211) 4
* 17275: obj =   2.850223021e+02 inf =   3.803e-03 (3130) 3
* 17618: obj =   2.850222753e+02 inf =   3.507e-03 (3099) 3
* 17976: obj =   2.771249561e+02 inf =   3.588e-03 (3078) 3
* 18330: obj =   2.771249218e+02 inf =   4.609e-03 (3113) 3
* 18687: obj =   2.766102142e+02 inf =   5.328e-03 (3276) 3
* 19035: obj =   2.766101820e+02 inf =   7.578e-03 (3215) 4
* 19359: obj =   2.766101600e+02 inf =   1.015e-02 (3211) 3
* 19700: obj =   2.697724447e+02 inf =   1.211e-02 (4359) 3
* 20020: obj =   2.697724101e+02 inf =   1.402e-02 (4368) 3
* 20364: obj =   2.697720973e+02 inf =   1.453e-02 (4073) 3
* 20719: obj =   2.697720137e+02 inf =   1.124e-02 (4040) 3
* 21090: obj =   2.697719958e+02 inf =   1.110e-02 (3910) 4
* 21432: obj =   2.697719612e+02 inf =   1.220e-02 (3826) 3
* 21772: obj =   2.697719481e+02 inf =   1.258e-02 (3867) 3
* 22114: obj =   2.697719243e+02 inf =   1.359e-02 (3823) 3
* 22442: obj =   2.697719014e+02 inf =   1.599e-02 (3773) 3
* 22774: obj =   2.697718819e+02 inf =   1.706e-02 (3787) 2
* 23079: obj =   2.697718579e+02 inf =   1.878e-02 (3794) 3
* 23378: obj =   2.697718369e+02 inf =   2.017e-02 (3788) 3
* 23689: obj =   2.697718175e+02 inf =   2.125e-02 (3843) 2
* 23987: obj =   2.697718061e+02 inf =   2.136e-02 (3901) 3
* 24296: obj =   2.697717962e+02 inf =   2.096e-02 (3984) 2
* 24599: obj =   2.697717201e+02 inf =   2.292e-02 (4007) 3
* 24891: obj =   2.697716857e+02 inf =   2.353e-02 (4046) 3
* 25184: obj =   2.697716470e+02 inf =   2.376e-02 (4097) 2
* 25466: obj =   2.697716021e+02 inf =   2.462e-02 (4137) 3
* 25737: obj =   2.697715541e+02 inf =   2.570e-02 (3770) 3
* 26008: obj =   2.697715516e+02 inf =   2.409e-02 (4143) 2
* 26273: obj =   2.697715465e+02 inf =   2.293e-02 (4207) 2
* 26532: obj =   2.697715449e+02 inf =   2.148e-02 (4443) 2
* 26790: obj =   2.697715033e+02 inf =   2.058e-02 (4400) 3
* 27054: obj =   2.697714442e+02 inf =   2.087e-02 (4000) 3
* 27318: obj =   2.697713527e+02 inf =   2.152e-02 (4043) 2
* 27580: obj =   2.697712042e+02 inf =   2.312e-02 (208480) 3
* 27850: obj =   2.697711427e+02 inf =   2.304e-02 (4426) 2
* 28119: obj =   2.697710795e+02 inf =   2.246e-02 (4130) 3
* 28399: obj =   2.697710090e+02 inf =   2.302e-02 (4503) 2
* 28665: obj =   2.697709865e+02 inf =   2.226e-02 (4511) 3
* 28949: obj =   2.697709011e+02 inf =   2.161e-02 (4152) 3
* 29242: obj =   2.697704652e+02 inf =   2.323e-02 (4089) 3
* 29579: obj =   2.697700951e+02 inf =   2.328e-02 (4040) 3
* 29855: obj =   2.697694152e+02 inf =   2.117e-02 (4020) 3
* 30137: obj =   2.697677267e+02 inf =   1.911e-02 (4021) 2
* 30420: obj =   2.697674677e+02 inf =   1.938e-02 (3959) 3
* 30696: obj =   2.697663833e+02 inf =   1.928e-02 (3944) 3
* 30981: obj =   2.697654315e+02 inf =   2.090e-02 (3923) 3
* 31263: obj =   2.697646244e+02 inf =   2.304e-02 (3857) 2
* 31550: obj =   2.697635652e+02 inf =   2.765e-02 (3862) 3
* 31850: obj =   2.697629128e+02 inf =   3.087e-02 (3822) 3
* 32169: obj =   2.697624788e+02 inf =   3.315e-02 (3772) 3
* 32491: obj =   2.697621223e+02 inf =   3.426e-02 (3745) 4
* 32818: obj =   2.697616645e+02 inf =   3.637e-02 (3740) 3
* 33151: obj =   2.662856055e+02 inf =   3.857e-02 (3723) 3
* 33452: obj =   2.662855065e+02 inf =   3.622e-02 (3774) 3
* 33749: obj =   2.662854317e+02 inf =   3.473e-02 (3788) 3
* 34030: obj =   2.662852835e+02 inf =   3.394e-02 (3771) 3
* 34323: obj =   2.662852480e+02 inf =   3.341e-02 (3766) 2
* 34606: obj =   2.662852067e+02 inf =   3.247e-02 (3775) 3
* 34882: obj =   2.662851145e+02 inf =   3.136e-02 (3751) 3
* 35168: obj =   2.662850524e+02 inf =   3.011e-02 (3777) 3
* 35445: obj =   2.662849985e+02 inf =   2.920e-02 (3754) 2
* 35716: obj =   2.662849359e+02 inf =   2.824e-02 (3724) 3
* 35992: obj =   2.662848794e+02 inf =   2.785e-02 (3732) 3
* 36276: obj =   2.662848378e+02 inf =   2.654e-02 (3733) 2
