GLPSOL--GLPK LP/MIP Solver 5.0
Parameter(s) specified in the command line:
 --lp input/p2p-Gnutella31.html/p2p-Gnutella31.txt.gz.30.lp -o input/p2p-Gnutella31.html/p2p-Gnutella31.txt.gz.30.lp.sol
Reading problem data from 'input/p2p-Gnutella31.html/p2p-Gnutella31.txt.gz.30.lp'...
147895 rows, 358370 columns, 739462 non-zeros
358370 integer variables, all of which are binary
506270 lines were read
GLPK Integer Optimizer 5.0
147895 rows, 358370 columns, 739462 non-zeros
358370 integer variables, all of which are binary
Preprocessing...
147874 rows, 358348 columns, 739238 non-zeros
358348 integer variables, all of which are binary
Scaling...
 A: min|aij| =  1.000e+00  max|aij| =  1.000e+00  ratio =  1.000e+00
Problem data seem to be well scaled
Constructing initial basis...
Size of triangular part is 147874
Solving LP relaxation...
GLPK Simplex Optimizer 5.0
147874 rows, 358348 columns, 739238 non-zeros
      0: obj =   0.000000000e+00 inf =   6.800e+01 (68)
     68: obj =   3.911644400e+01 inf =   0.000e+00 (0)
Perturbing LP to avoid stalling [299]...
*   800: obj =   1.984247500e+01 inf =   0.000e+00 (386) 2
*  1405: obj =   1.984247500e+01 inf =   0.000e+00 (517) 4
*  1980: obj =   1.984247500e+01 inf =   0.000e+00 (590) 3
*  2519: obj =   1.984247500e+01 inf =   0.000e+00 (681) 4
*  3029: obj =   1.984247500e+01 inf =   0.000e+00 (713) 4
*  3534: obj =   1.984247500e+01 inf =   0.000e+00 (789) 3
*  4012: obj =   1.984247500e+01 inf =   0.000e+00 (836) 4
*  4483: obj =   1.984247500e+01 inf =   0.000e+00 (934) 3
*  4933: obj =   1.984247500e+01 inf =   0.000e+00 (980) 4
*  5379: obj =   1.984247500e+01 inf =   0.000e+00 (1038) 3
*  5811: obj =   1.984247500e+01 inf =   0.000e+00 (1079) 3
*  6229: obj =   1.984247500e+01 inf =   0.000e+00 (1110) 4
*  6644: obj =   1.984247500e+01 inf =   0.000e+00 (1178) 3
*  7044: obj =   1.984247500e+01 inf =   0.000e+00 (1221) 3
*  7445: obj =   1.984247500e+01 inf =   0.000e+00 (1268) 3
*  7831: obj =   1.984247500e+01 inf =   0.000e+00 (1291) 3
*  8210: obj =   1.984247500e+01 inf =   0.000e+00 (1363) 3
*  8587: obj =   1.984247500e+01 inf =   0.000e+00 (1388) 3
*  8952: obj =   1.984247500e+01 inf =   0.000e+00 (1419) 3
*  9316: obj =   1.984247500e+01 inf =   0.000e+00 (1491) 3
*  9670: obj =   1.984247500e+01 inf =   0.000e+00 (1518) 4
* 10017: obj =   1.984247500e+01 inf =   0.000e+00 (1522) 3
* 10368: obj =   1.984247500e+01 inf =   0.000e+00 (1546) 3
* 10712: obj =   1.984247500e+01 inf =   0.000e+00 (1571) 3
* 11049: obj =   1.984247500e+01 inf =   0.000e+00 (1604) 2
* 11388: obj =   1.984247500e+01 inf =   0.000e+00 (1697) 3
* 11719: obj =   1.984247500e+01 inf =   0.000e+00 (1775) 3
* 12042: obj =   1.984247500e+01 inf =   0.000e+00 (1766) 3
* 12370: obj =   1.984247500e+01 inf =   0.000e+00 (1819) 3
* 12689: obj =   1.984247500e+01 inf =   0.000e+00 (1847) 3
* 13001: obj =   1.984247500e+01 inf =   0.000e+00 (1836) 3
* 13317: obj =   1.984247500e+01 inf =   0.000e+00 (1955) 3
* 13630: obj =   1.984247500e+01 inf =   0.000e+00 (1961) 3
* 13937: obj =   1.984247500e+01 inf =   0.000e+00 (1988) 2
* 14241: obj =   1.984247500e+01 inf =   0.000e+00 (1989) 3
* 14545: obj =   1.984247500e+01 inf =   0.000e+00 (2018) 3
* 14842: obj =   1.984247500e+01 inf =   0.000e+00 (2047) 3
* 15140: obj =   1.984247500e+01 inf =   0.000e+00 (2069) 2
* 15440: obj =   1.984247500e+01 inf =   0.000e+00 (2156) 3
* 15732: obj =   1.984247500e+01 inf =   0.000e+00 (2159) 3
* 16024: obj =   1.984247500e+01 inf =   0.000e+00 (2161) 2
* 16332: obj =   1.984247500e+01 inf =   0.000e+00 (149374) 3
* 16647: obj =   1.984247500e+01 inf =   0.000e+00 (149307) 3
* 16959: obj =   1.984247500e+01 inf =   0.000e+00 (149317) 4
* 17274: obj =   1.984247500e+01 inf =   0.000e+00 (149384) 3
* 17587: obj =   1.984247500e+01 inf =   0.000e+00 (149404) 3
* 17896: obj =   1.984247500e+01 inf =   0.000e+00 (149501) 3
* 18201: obj =   1.984247500e+01 inf =   0.000e+00 (149542) 3
* 18504: obj =   1.984247500e+01 inf =   0.000e+00 (149617) 3
* 18802: obj =   1.984247500e+01 inf =   0.000e+00 (149665) 3
* 19096: obj =   1.984247500e+01 inf =   0.000e+00 (149742) 3
* 19392: obj =   1.984247500e+01 inf =   0.000e+00 (149845) 3
* 19688: obj =   1.984247500e+01 inf =   0.000e+00 (149917) 2
* 19974: obj =   1.984247500e+01 inf =   0.000e+00 (150011) 3
* 20258: obj =   1.984247500e+01 inf =   0.000e+00 (150082) 3
* 20540: obj =   1.984247500e+01 inf =   0.000e+00 (150175) 3
* 20816: obj =   1.984247500e+01 inf =   0.000e+00 (150244) 3
* 21097: obj =   1.984247500e+01 inf =   0.000e+00 (150368) 2
* 21372: obj =   1.984247500e+01 inf =   0.000e+00 (150518) 3
* 21640: obj =   1.984247500e+01 inf =   0.000e+00 (150626) 3
* 21912: obj =   1.984247500e+01 inf =   0.000e+00 (150716) 3
* 22184: obj =   1.984247500e+01 inf =   0.000e+00 (150791) 2
* 22446: obj =   1.984247500e+01 inf =   0.000e+00 (150889) 3
* 22714: obj =   1.984247500e+01 inf =   0.000e+00 (150979) 2
* 22965: obj =   1.984247500e+01 inf =   0.000e+00 (151064) 3
* 23226: obj =   1.984247500e+01 inf =   0.000e+00 (151121) 3
* 23489: obj =   1.984247500e+01 inf =   0.000e+00 (151247) 2
* 23734: obj =   1.984247500e+01 inf =   0.000e+00 (151305) 3
* 23988: obj =   1.984247500e+01 inf =   0.000e+00 (151435) 2
* 24236: obj =   1.984247500e+01 inf =   0.000e+00 (151574) 3
* 24488: obj =   1.984247500e+01 inf =   0.000e+00 (151691) 2
* 24861: obj =   7.217469033e+00 inf =   2.708e-05 (11258) 4
* 25209: obj =   7.217457345e+00 inf =   4.552e-04 (11148) 3
* 25502: obj =   7.217374422e+00 inf =   3.502e-03 (11041) 3
* 25793: obj =   7.217262884e+00 inf =   7.433e-03 (10988) 2
* 26080: obj =   7.217125944e+00 inf =   1.234e-02 (10879) 3
* 26374: obj =   7.216985477e+00 inf =   1.777e-02 (10713) 2
* 26664: obj =   7.216857689e+00 inf =   2.326e-02 (10627) 3
* 26953: obj =   7.216754610e+00 inf =   2.796e-02 (10509) 3
* 27249: obj =   7.216515189e+00 inf =   4.044e-02 (10405) 2
* 27543: obj =   7.216344516e+00 inf =   4.964e-02 (10290) 3
* 27838: obj =   7.216162122e+00 inf =   5.971e-02 (10164) 3
* 28133: obj =   7.215963532e+00 inf =   7.131e-02 (10063) 2
* 28430: obj =   7.215828027e+00 inf =   7.955e-02 (9958) 3
* 28724: obj =   7.215677613e+00 inf =   8.953e-02 (9792) 3
* 29021: obj =   7.215538604e+00 inf =   9.952e-02 (9634) 2
* 29318: obj =   7.215386185e+00 inf =   1.117e-01 (9520) 3
* 29618: obj =   7.215247635e+00 inf =   1.243e-01 (9417) 3
* 29915: obj =   7.215105863e+00 inf =   1.381e-01 (9342) 2
* 30209: obj =   7.215015475e+00 inf =   1.475e-01 (9252) 3
* 30505: obj =   7.214872946e+00 inf =   1.650e-01 (9141) 3
* 30803: obj =   7.214747956e+00 inf =   1.795e-01 (9150) 2
* 31098: obj =   7.214693154e+00 inf =   1.856e-01 (9045) 3
* 31399: obj =   7.214577205e+00 inf =   2.013e-01 (8982) 3
* 31703: obj =   7.214464056e+00 inf =   2.146e-01 (8934) 3
* 32003: obj =   7.214368840e+00 inf =   2.247e-01 (8728) 3
* 32316: obj =   7.214242547e+00 inf =   2.435e-01 (8668) 2
* 32625: obj =   7.214146213e+00 inf =   2.563e-01 (8634) 3
* 32916: obj =   7.214024634e+00 inf =   2.702e-01 (8578) 3
* 33220: obj =   7.213936292e+00 inf =   2.810e-01 (8472) 3
* 33511: obj =   7.213809097e+00 inf =   2.920e-01 (8534) 3
* 33818: obj =   7.213699722e+00 inf =   3.034e-01 (8496) 2
* 34109: obj =   7.213645790e+00 inf =   3.058e-01 (8410) 3
* 34400: obj =   7.213478626e+00 inf =   3.220e-01 (8399) 3
* 34685: obj =   7.213388398e+00 inf =   3.260e-01 (8376) 3
* 34976: obj =   7.213279301e+00 inf =   3.290e-01 (8262) 2
