GLPSOL--GLPK LP/MIP Solver 5.0
Parameter(s) specified in the command line:
 --lp input/roadNet-CA.html/roadNet-CA.txt.gz.3.lp -o input/roadNet-CA.html/roadNet-CA.txt.gz.3.lp.sol
Reading problem data from 'input/roadNet-CA.html/roadNet-CA.txt.gz.3.lp'...
5533217 rows, 13031634 columns, 27666072 non-zeros
13031634 integer variables, all of which are binary
18564856 lines were read
GLPK Integer Optimizer 5.0
5533217 rows, 13031634 columns, 27666072 non-zeros
13031634 integer variables, all of which are binary
Preprocessing...
5533193 rows, 13031610 columns, 27665960 non-zeros
13031610 integer variables, all of which are binary
Scaling...
 A: min|aij| =  1.000e+00  max|aij| =  1.000e+00  ratio =  1.000e+00
Problem data seem to be well scaled
Constructing initial basis...
Size of triangular part is 5533193
Solving LP relaxation...
GLPK Simplex Optimizer 5.0
5533193 rows, 13031610 columns, 27665960 non-zeros
      0: obj =   0.000000000e+00 inf =   1.000e+01 (10)
     10: obj =   1.099999900e+01 inf =   0.000e+00 (0)
*    31: obj =   7.499998000e+00 inf =   0.000e+00 (17)
*    49: obj =   7.499998000e+00 inf =   0.000e+00 (5533234)
*    66: obj =   7.499998000e+00 inf =   0.000e+00 (58)
*    84: obj =   7.499998000e+00 inf =   0.000e+00 (56)
*   102: obj =   7.499998000e+00 inf =   0.000e+00 (69)
*   120: obj =   7.499998000e+00 inf =   0.000e+00 (64)
*   139: obj =   7.499998000e+00 inf =   0.000e+00 (75)
*   153: obj =   7.499998000e+00 inf =   0.000e+00 (76)
*   169: obj =   7.499998000e+00 inf =   0.000e+00 (110)
*   185: obj =   7.499998000e+00 inf =   0.000e+00 (140)
*   200: obj =   7.499998000e+00 inf =   0.000e+00 (5533255)
Perturbing LP to avoid stalling [212]...
*   215: obj =   7.499998000e+00 inf =   0.000e+00 (5533261)
*   231: obj =   7.499998000e+00 inf =   0.000e+00 (5533274)
*   247: obj =   7.499998000e+00 inf =   0.000e+00 (5533285)
*   256: obj =   7.499998000e+00 inf =   0.000e+00 (5533281) 1
*   273: obj =   7.499998000e+00 inf =   0.000e+00 (184)
*   291: obj =   7.499998000e+00 inf =   0.000e+00 (166)
*   309: obj =   7.499998000e+00 inf =   0.000e+00 (208)
*   326: obj =   7.499998000e+00 inf =   0.000e+00 (156)
*   344: obj =   7.499998000e+00 inf =   0.000e+00 (131)
*   362: obj =   7.499998000e+00 inf =   0.000e+00 (194)
*   375: obj =   7.499998000e+00 inf =   0.000e+00 (201)
*   387: obj =   7.499998000e+00 inf =   0.000e+00 (234)
*   399: obj =   7.499998000e+00 inf =   0.000e+00 (176)
*   408: obj =   7.499998000e+00 inf =   0.000e+00 (167) 1
*   423: obj =   7.499998000e+00 inf =   0.000e+00 (184)
*   438: obj =   7.499998000e+00 inf =   0.000e+00 (143)
*   454: obj =   7.499998000e+00 inf =   0.000e+00 (153)
*   471: obj =   5.249999000e+00 inf =   0.000e+00 (122)
*   487: obj =   4.749999000e+00 inf =   0.000e+00 (117)
*   503: obj =   4.749999000e+00 inf =   0.000e+00 (143)
*   519: obj =   4.749999000e+00 inf =   0.000e+00 (160)
*   535: obj =   4.749999000e+00 inf =   0.000e+00 (124)
*   552: obj =   4.749999000e+00 inf =   0.000e+00 (203)
*   569: obj =   4.749999000e+00 inf =   0.000e+00 (129)
*   587: obj =   4.749999000e+00 inf =   0.000e+00 (5533298)
*   605: obj =   4.749999000e+00 inf =   0.000e+00 (165)
*   624: obj =   4.749999000e+00 inf =   0.000e+00 (136)
*   635: obj =   4.749999000e+00 inf =   0.000e+00 (104) 1
*   654: obj =   4.749999000e+00 inf =   0.000e+00 (145)
*   673: obj =   4.749999000e+00 inf =   0.000e+00 (134)
*   692: obj =   4.749999000e+00 inf =   0.000e+00 (144)
*   711: obj =   4.749999000e+00 inf =   0.000e+00 (162)
*   730: obj =   4.749999000e+00 inf =   0.000e+00 (116)
*   749: obj =   4.749999000e+00 inf =   0.000e+00 (130)
*   768: obj =   4.749999000e+00 inf =   0.000e+00 (141)
*   782: obj =   4.749999000e+00 inf =   0.000e+00 (138) 1
*   801: obj =   4.749999000e+00 inf =   0.000e+00 (150)
*   819: obj =   4.249999000e+00 inf =   0.000e+00 (106)
*   838: obj =   4.249999000e+00 inf =   0.000e+00 (98)
*   857: obj =   4.249999000e+00 inf =   0.000e+00 (196)
*   876: obj =   4.249999000e+00 inf =   0.000e+00 (208)
*   896: obj =   4.249999000e+00 inf =   0.000e+00 (223)
*   915: obj =   4.249999000e+00 inf =   0.000e+00 (233)
*   934: obj =   4.249999000e+00 inf =   0.000e+00 (204)
*   949: obj =   4.249999000e+00 inf =   0.000e+00 (135) 1
*   968: obj =   4.249999000e+00 inf =   0.000e+00 (226)
*   987: obj =   4.249999000e+00 inf =   0.000e+00 (262)
*  1006: obj =   4.249999000e+00 inf =   0.000e+00 (319)
*  1025: obj =   4.249999000e+00 inf =   0.000e+00 (267)
*  1044: obj =   4.249999000e+00 inf =   0.000e+00 (144)
*  1059: obj =   4.249999000e+00 inf =   0.000e+00 (133) 1
*  1078: obj =   4.249999000e+00 inf =   0.000e+00 (148)
*  1097: obj =   4.249999000e+00 inf =   0.000e+00 (114)
*  1116: obj =   4.249999000e+00 inf =   0.000e+00 (115)
*  1135: obj =   4.249999000e+00 inf =   0.000e+00 (99)
*  1154: obj =   4.249999000e+00 inf =   0.000e+00 (200)
*  1173: obj =   4.249999000e+00 inf =   0.000e+00 (250)
*  1192: obj =   4.249999000e+00 inf =   0.000e+00 (246)
*  1211: obj =   4.249999000e+00 inf =   0.000e+00 (219)
*  1226: obj =   4.249999000e+00 inf =   0.000e+00 (290) 1
*  1245: obj =   4.249999000e+00 inf =   0.000e+00 (189)
*  1264: obj =   4.249999000e+00 inf =   0.000e+00 (200)
*  1283: obj =   4.249999000e+00 inf =   0.000e+00 (167)
*  1302: obj =   4.249999000e+00 inf =   0.000e+00 (111)
*  1320: obj =   4.249999000e+00 inf =   0.000e+00 (202)
*  1339: obj =   4.249999000e+00 inf =   0.000e+00 (238)
*  1358: obj =   4.249999000e+00 inf =   0.000e+00 (309)
*  1377: obj =   4.249999000e+00 inf =   0.000e+00 (356)
*  1396: obj =   4.249999000e+00 inf =   0.000e+00 (402)
*  1411: obj =   4.249999000e+00 inf =   0.000e+00 (421) 1
*  1430: obj =   4.249999000e+00 inf =   0.000e+00 (446)
*  1449: obj =   4.249999000e+00 inf =   0.000e+00 (424)
*  1468: obj =   4.249999000e+00 inf =   0.000e+00 (444)
*  1487: obj =   4.249999000e+00 inf =   0.000e+00 (451)
*  1506: obj =   4.249999000e+00 inf =   0.000e+00 (400)
*  1521: obj =   4.249999000e+00 inf =   0.000e+00 (423) 1
*  1540: obj =   4.249999000e+00 inf =   0.000e+00 (360)
*  1559: obj =   4.249999000e+00 inf =   0.000e+00 (384)
*  1578: obj =   4.249999000e+00 inf =   0.000e+00 (372)
*  1597: obj =   4.249999000e+00 inf =   0.000e+00 (320)
*  1616: obj =   4.249999000e+00 inf =   0.000e+00 (453)
*  1635: obj =   4.249999000e+00 inf =   0.000e+00 (459)
*  1654: obj =   4.249999000e+00 inf =   0.000e+00 (420)
*  1670: obj =   4.249999000e+00 inf =   0.000e+00 (461) 1
*  1689: obj =   4.249999000e+00 inf =   0.000e+00 (467)
*  1708: obj =   4.249999000e+00 inf =   0.000e+00 (331)
*  1727: obj =   4.249999000e+00 inf =   0.000e+00 (454)
*  1746: obj =   4.249999000e+00 inf =   0.000e+00 (472)
*  1765: obj =   4.249999000e+00 inf =   0.000e+00 (375)
*  1784: obj =   4.249999000e+00 inf =   0.000e+00 (495)
*  1803: obj =   4.249999000e+00 inf =   0.000e+00 (400)
*  1818: obj =   4.249999000e+00 inf =   0.000e+00 (336) 1
