GLPSOL--GLPK LP/MIP Solver 5.0
Parameter(s) specified in the command line:
 --lp input/roadNet-PA.html/roadNet-PA.txt.gz.8.lp -o input/roadNet-PA.html/roadNet-PA.txt.gz.8.lp.sol
Reading problem data from 'input/roadNet-PA.html/roadNet-PA.txt.gz.8.lp'...
3083799 rows, 7255684 columns, 15418982 non-zeros
7255684 integer variables, all of which are binary
10339488 lines were read
GLPK Integer Optimizer 5.0
3083799 rows, 7255684 columns, 15418982 non-zeros
7255684 integer variables, all of which are binary
Preprocessing...
3083779 rows, 7255664 columns, 15418890 non-zeros
7255664 integer variables, all of which are binary
Scaling...
 A: min|aij| =  1.000e+00  max|aij| =  1.000e+00  ratio =  1.000e+00
Problem data seem to be well scaled
Constructing initial basis...
Size of triangular part is 3083779
Solving LP relaxation...
GLPK Simplex Optimizer 5.0
3083779 rows, 7255664 columns, 15418890 non-zeros
      0: obj =   0.000000000e+00 inf =   9.000e+00 (9)
      9: obj =   1.311110800e+01 inf =   0.000e+00 (0)
*    36: obj =   1.444444000e+00 inf =   0.000e+00 (23)
*    57: obj =   1.444444000e+00 inf =   0.000e+00 (33)
*    80: obj =   1.444444000e+00 inf =   0.000e+00 (60)
*   102: obj =   1.444444000e+00 inf =   0.000e+00 (75)
*   122: obj =   1.444444000e+00 inf =   0.000e+00 (87)
*   139: obj =   1.444444000e+00 inf =   0.000e+00 (83)
*   158: obj =   1.444444000e+00 inf =   0.000e+00 (114)
*   179: obj =   1.444444000e+00 inf =   0.000e+00 (94)
*   199: obj =   1.444444000e+00 inf =   0.000e+00 (126)
Perturbing LP to avoid stalling [216]...
*   221: obj =   1.444444000e+00 inf =   0.000e+00 (127)
*   240: obj =   1.444444000e+00 inf =   0.000e+00 (129) 1
*   263: obj =   1.444444000e+00 inf =   0.000e+00 (136)
*   285: obj =   1.444444000e+00 inf =   0.000e+00 (153)
*   308: obj =   1.444444000e+00 inf =   0.000e+00 (137)
*   330: obj =   1.444444000e+00 inf =   0.000e+00 (178)
*   350: obj =   1.444444000e+00 inf =   0.000e+00 (183)
*   369: obj =   1.444444000e+00 inf =   0.000e+00 (143)
*   392: obj =   1.444444000e+00 inf =   0.000e+00 (148)
*   413: obj =   1.444444000e+00 inf =   0.000e+00 (229)
*   433: obj =   1.444444000e+00 inf =   0.000e+00 (239)
*   450: obj =   1.444444000e+00 inf =   0.000e+00 (263) 1
*   470: obj =   1.444444000e+00 inf =   0.000e+00 (223)
*   489: obj =   1.444444000e+00 inf =   0.000e+00 (238)
*   509: obj =   1.444444000e+00 inf =   0.000e+00 (223)
*   528: obj =   1.444444000e+00 inf =   0.000e+00 (241)
*   548: obj =   1.444444000e+00 inf =   0.000e+00 (237)
*   564: obj =   1.444444000e+00 inf =   0.000e+00 (222) 1
*   584: obj =   1.444444000e+00 inf =   0.000e+00 (270)
*   604: obj =   1.444444000e+00 inf =   0.000e+00 (290)
*   625: obj =   1.444444000e+00 inf =   0.000e+00 (286)
*   646: obj =   1.444444000e+00 inf =   0.000e+00 (308)
*   666: obj =   1.444444000e+00 inf =   0.000e+00 (317)
*   683: obj =   1.444444000e+00 inf =   0.000e+00 (263) 1
*   703: obj =   1.444444000e+00 inf =   0.000e+00 (273)
*   720: obj =   1.444444000e+00 inf =   0.000e+00 (265)
*   737: obj =   1.444444000e+00 inf =   0.000e+00 (295)
*   756: obj =   1.444444000e+00 inf =   0.000e+00 (305)
*   774: obj =   1.444444000e+00 inf =   0.000e+00 (305)
*   795: obj =   1.444444000e+00 inf =   0.000e+00 (335)
*   813: obj =   1.444444000e+00 inf =   0.000e+00 (268)
*   832: obj =   1.444444000e+00 inf =   0.000e+00 (358)
*   853: obj =   1.444444000e+00 inf =   0.000e+00 (342)
*   866: obj =   1.444444000e+00 inf =   0.000e+00 (337) 1
*   886: obj =   1.444444000e+00 inf =   0.000e+00 (372)
*   905: obj =   1.444444000e+00 inf =   0.000e+00 (383)
*   923: obj =   1.444444000e+00 inf =   0.000e+00 (296)
