GLPSOL--GLPK LP/MIP Solver 5.0
Parameter(s) specified in the command line:
 --lp input/roadNet-TX.html/roadNet-TX.txt.gz.2.lp -o input/roadNet-TX.html/roadNet-TX.txt.gz.2.lp.sol
Reading problem data from 'input/roadNet-TX.html/roadNet-TX.txt.gz.2.lp'...
3843323 rows, 9066557 columns, 19216602 non-zeros
9066557 integer variables, all of which are binary
12909885 lines were read
GLPK Integer Optimizer 5.0
3843323 rows, 9066557 columns, 19216602 non-zeros
9066557 integer variables, all of which are binary
Preprocessing...
3843297 rows, 9066531 columns, 19216480 non-zeros
9066531 integer variables, all of which are binary
Scaling...
 A: min|aij| =  1.000e+00  max|aij| =  1.000e+00  ratio =  1.000e+00
Problem data seem to be well scaled
Constructing initial basis...
Size of triangular part is 3843297
Solving LP relaxation...
GLPK Simplex Optimizer 5.0
3843297 rows, 9066531 columns, 19216480 non-zeros
      0: obj =   0.000000000e+00 inf =   1.200e+01 (12)
     12: obj =   1.533333200e+01 inf =   0.000e+00 (0)
*    42: obj =   1.266666600e+01 inf =   0.000e+00 (21)
*    70: obj =   1.266666600e+01 inf =   0.000e+00 (44)
*    95: obj =   2.854167000e+00 inf =   1.110e-16 (56)
*   123: obj =   2.854167000e+00 inf =   1.110e-16 (93)
*   151: obj =   2.854167000e+00 inf =   1.110e-16 (83)
*   179: obj =   2.500000000e+00 inf =   2.026e-15 (87)
*   203: obj =   2.500000000e+00 inf =   0.000e+00 (109) 1
*   231: obj =   2.500000000e+00 inf =   0.000e+00 (97)
*   260: obj =   2.500000000e+00 inf =   0.000e+00 (104)
Perturbing LP to avoid stalling [277]...
*   288: obj =   2.500000000e+00 inf =   0.000e+00 (143)
*   316: obj =   2.500000000e+00 inf =   0.000e+00 (157)
*   343: obj =   2.500000000e+00 inf =   0.000e+00 (169)
*   370: obj =   2.500000000e+00 inf =   0.000e+00 (221)
*   393: obj =   2.500000000e+00 inf =   0.000e+00 (233) 1
*   420: obj =   2.500000000e+00 inf =   0.000e+00 (245)
*   448: obj =   2.500000000e+00 inf =   0.000e+00 (263)
*   476: obj =   2.500000000e+00 inf =   0.000e+00 (304)
*   503: obj =   2.500000000e+00 inf =   0.000e+00 (314)
*   531: obj =   2.500000000e+00 inf =   0.000e+00 (356)
*   558: obj =   2.500000000e+00 inf =   0.000e+00 (319)
*   586: obj =   2.500000000e+00 inf =   0.000e+00 (235)
*   614: obj =   2.500000000e+00 inf =   0.000e+00 (206)
*   637: obj =   2.500000000e+00 inf =   0.000e+00 (273) 1
*   665: obj =   2.500000000e+00 inf =   0.000e+00 (294)
*   692: obj =   2.500000000e+00 inf =   0.000e+00 (315)
*   720: obj =   2.500000000e+00 inf =   0.000e+00 (248)
*   748: obj =   2.500000000e+00 inf =   0.000e+00 (202)
*   776: obj =   2.500000000e+00 inf =   0.000e+00 (196)
*   804: obj =   2.500000000e+00 inf =   0.000e+00 (291)
*   832: obj =   2.500000000e+00 inf =   0.000e+00 (354)
*   857: obj =   2.500000000e+00 inf =   0.000e+00 (223) 1
*   884: obj =   2.500000000e+00 inf =   0.000e+00 (285)
*   912: obj =   2.500000000e+00 inf =   0.000e+00 (422)
*   939: obj =   2.500000000e+00 inf =   0.000e+00 (428)
*   966: obj =   2.500000000e+00 inf =   0.000e+00 (440)
*   994: obj =   2.500000000e+00 inf =   0.000e+00 (498)
*  1021: obj =   2.500000000e+00 inf =   0.000e+00 (366)
*  1043: obj =   2.500000000e+00 inf =   0.000e+00 (169) 1
*  1070: obj =   2.500000000e+00 inf =   0.000e+00 (184)
*  1097: obj =   2.500000000e+00 inf =   0.000e+00 (189)
*  1123: obj =   2.500000000e+00 inf =   0.000e+00 (239)
*  1150: obj =   2.500000000e+00 inf =   0.000e+00 (244)
*  1175: obj =   2.500000000e+00 inf =   0.000e+00 (294) 1
*  1202: obj =   2.500000000e+00 inf =   0.000e+00 (284)
*  1229: obj =   2.500000000e+00 inf =   0.000e+00 (239)
*  1256: obj =   2.500000000e+00 inf =   0.000e+00 (201)
*  1283: obj =   2.500000000e+00 inf =   0.000e+00 (247)
*  1311: obj =   2.500000000e+00 inf =   0.000e+00 (193)
*  1339: obj =   2.500000000e+00 inf =   0.000e+00 (192)
*  1366: obj =   2.500000000e+00 inf =   0.000e+00 (405)
*  1389: obj =   2.500000000e+00 inf =   0.000e+00 (428) 1
*  1416: obj =   2.500000000e+00 inf =   0.000e+00 (434)
*  1444: obj =   2.500000000e+00 inf =   0.000e+00 (448)
*  1471: obj =   2.500000000e+00 inf =   0.000e+00 (332)
*  1499: obj =   2.500000000e+00 inf =   0.000e+00 (221)
*  1522: obj =   2.500000000e+00 inf =   0.000e+00 (288) 1
*  1550: obj =   2.500000000e+00 inf =   0.000e+00 (271)
*  1578: obj =   2.500000000e+00 inf =   0.000e+00 (326)
*  1606: obj =   2.500000000e+00 inf =   0.000e+00 (503)
*  1634: obj =   2.500000000e+00 inf =   0.000e+00 (584)
*  1661: obj =   2.500000000e+00 inf =   0.000e+00 (268)
*  1684: obj =   2.500000000e+00 inf =   0.000e+00 (178) 1
*  1711: obj =   2.500000000e+00 inf =   0.000e+00 (170)
*  1739: obj =   2.500000000e+00 inf =   0.000e+00 (188)
*  1766: obj =   2.500000000e+00 inf =   0.000e+00 (363)
*  1794: obj =   2.500000000e+00 inf =   0.000e+00 (363)
*  1817: obj =   2.500000000e+00 inf =   0.000e+00 (378) 1
*  1845: obj =   2.500000000e+00 inf =   0.000e+00 (381)
*  1873: obj =   2.500000000e+00 inf =   0.000e+00 (358)
*  1900: obj =   2.500000000e+00 inf =   0.000e+00 (413)
*  1928: obj =   2.500000000e+00 inf =   0.000e+00 (208)
*  1951: obj =   2.500000000e+00 inf =   0.000e+00 (97) 1
*  1979: obj =   2.500000000e+00 inf =   0.000e+00 (113)
*  2007: obj =   2.500000000e+00 inf =   0.000e+00 (113)
*  2035: obj =   2.500000000e+00 inf =   0.000e+00 (288)
*  2063: obj =   2.500000000e+00 inf =   0.000e+00 (237)
*  2091: obj =   2.500000000e+00 inf =   0.000e+00 (84)
*  2119: obj =   2.500000000e+00 inf =   0.000e+00 (67)
*  2142: obj =   2.500000000e+00 inf =   0.000e+00 (72) 1
*  2170: obj =   2.500000000e+00 inf =   0.000e+00 (76)
*  2197: obj =   2.500000000e+00 inf =   0.000e+00 (341)
*  2224: obj =   2.500000000e+00 inf =   0.000e+00 (469)
*  2251: obj =   2.500000000e+00 inf =   0.000e+00 (473)
*  2274: obj =   2.500000000e+00 inf =   0.000e+00 (200) 1
*  2301: obj =   2.500000000e+00 inf =   0.000e+00 (310)
*  2328: obj =   2.500000000e+00 inf =   0.000e+00 (397)
*  2355: obj =   2.500000000e+00 inf =   0.000e+00 (401)
*  2382: obj =   2.500000000e+00 inf =   0.000e+00 (384)
*  2406: obj =   2.500000000e+00 inf =   0.000e+00 (374) 1
*  2433: obj =   2.500000000e+00 inf =   0.000e+00 (294)
*  2460: obj =   2.500000000e+00 inf =   0.000e+00 (440)
*  2487: obj =   2.500000000e+00 inf =   0.000e+00 (329)
*  2514: obj =   2.500000000e+00 inf =   0.000e+00 (360)
*  2541: obj =   2.500000000e+00 inf =   0.000e+00 (366) 1
*  2568: obj =   2.500000000e+00 inf =   0.000e+00 (352)
*  2595: obj =   2.500000000e+00 inf =   0.000e+00 (309)
*  2622: obj =   2.500000000e+00 inf =   0.000e+00 (275)
*  2649: obj =   2.500000000e+00 inf =   0.000e+00 (279)
*  2676: obj =   2.500000000e+00 inf =   0.000e+00 (306) 1
*  2703: obj =   2.500000000e+00 inf =   0.000e+00 (269)
*  2730: obj =   2.500000000e+00 inf =   0.000e+00 (264)
*  2757: obj =   2.500000000e+00 inf =   0.000e+00 (347)
*  2784: obj =   2.500000000e+00 inf =   0.000e+00 (406)
*  2811: obj =   2.500000000e+00 inf =   0.000e+00 (319)
*  2833: obj =   2.500000000e+00 inf =   0.000e+00 (308) 1
*  2860: obj =   2.500000000e+00 inf =   0.000e+00 (434)
*  2887: obj =   2.500000000e+00 inf =   0.000e+00 (425)
*  2914: obj =   2.500000000e+00 inf =   0.000e+00 (376)
*  2941: obj =   2.500000000e+00 inf =   0.000e+00 (443)
*  2964: obj =   2.500000000e+00 inf =   0.000e+00 (427) 1
*  2991: obj =   2.500000000e+00 inf =   0.000e+00 (460)
*  3018: obj =   2.500000000e+00 inf =   0.000e+00 (508)
*  3045: obj =   2.500000000e+00 inf =   0.000e+00 (412)
*  3068: obj =   2.500000000e+00 inf =   0.000e+00 (135) 1
*  3095: obj =   2.500000000e+00 inf =   0.000e+00 (57)
*  3122: obj =   2.500000000e+00 inf =   0.000e+00 (49)
*  3149: obj =   2.500000000e+00 inf =   0.000e+00 (51)
*  3176: obj =   2.500000000e+00 inf =   0.000e+00 (56)
*  3199: obj =   2.500000000e+00 inf =   0.000e+00 (79) 1
*  3226: obj =   2.500000000e+00 inf =   0.000e+00 (91)
*  3253: obj =   2.500000000e+00 inf =   0.000e+00 (219)
*  3280: obj =   2.500000000e+00 inf =   0.000e+00 (220)
*  3307: obj =   2.500000000e+00 inf =   0.000e+00 (209)
*  3335: obj =   2.500000000e+00 inf =   0.000e+00 (241)
*  3358: obj =   2.500000000e+00 inf =   0.000e+00 (264) 1
*  3385: obj =   2.500000000e+00 inf =   0.000e+00 (271)
*  3412: obj =   2.500000000e+00 inf =   0.000e+00 (279)
*  3439: obj =   2.500000000e+00 inf =   0.000e+00 (285)
*  3466: obj =   2.500000000e+00 inf =   0.000e+00 (285) 1
*  3493: obj =   2.500000000e+00 inf =   0.000e+00 (293)
*  3520: obj =   2.500000000e+00 inf =   0.000e+00 (306)
*  3547: obj =   2.500000000e+00 inf =   0.000e+00 (290)
*  3574: obj =   2.500000000e+00 inf =   0.000e+00 (324)
*  3597: obj =   2.500000000e+00 inf =   0.000e+00 (327) 1
*  3624: obj =   2.500000000e+00 inf =   0.000e+00 (299)
*  3651: obj =   2.500000000e+00 inf =   0.000e+00 (335)
*  3678: obj =   2.500000000e+00 inf =   0.000e+00 (209)
*  3701: obj =   2.500000000e+00 inf =   0.000e+00 (200) 1
*  3728: obj =   2.500000000e+00 inf =   0.000e+00 (262)
*  3755: obj =   2.500000000e+00 inf =   0.000e+00 (267)
*  3782: obj =   2.500000000e+00 inf =   0.000e+00 (332)
*  3809: obj =   2.500000000e+00 inf =   0.000e+00 (360)
*  3836: obj =   2.500000000e+00 inf =   0.000e+00 (400)
*  3859: obj =   2.500000000e+00 inf =   0.000e+00 (382) 1
*  3886: obj =   2.500000000e+00 inf =   0.000e+00 (375)
*  3913: obj =   2.500000000e+00 inf =   0.000e+00 (331)
*  3940: obj =   2.500000000e+00 inf =   0.000e+00 (332)
*  3963: obj =   2.500000000e+00 inf =   0.000e+00 (392) 1
*  3990: obj =   2.500000000e+00 inf =   0.000e+00 (390)
*  4017: obj =   2.500000000e+00 inf =   0.000e+00 (394)
*  4044: obj =   2.500000000e+00 inf =   0.000e+00 (409)
*  4070: obj =   2.500000000e+00 inf =   0.000e+00 (413) 1
*  4097: obj =   2.500000000e+00 inf =   0.000e+00 (286)
*  4124: obj =   2.500000000e+00 inf =   0.000e+00 (202)
*  4151: obj =   2.500000000e+00 inf =   0.000e+00 (256)
*  4178: obj =   2.500000000e+00 inf =   0.000e+00 (145)
*  4201: obj =   2.500000000e+00 inf =   0.000e+00 (149) 1
*  4228: obj =   2.500000000e+00 inf =   0.000e+00 (141)
*  4255: obj =   2.500000000e+00 inf =   0.000e+00 (122)
*  4282: obj =   2.500000000e+00 inf =   0.000e+00 (135)
*  4305: obj =   2.500000000e+00 inf =   0.000e+00 (165) 1
*  4332: obj =   2.500000000e+00 inf =   0.000e+00 (164)
*  4359: obj =   2.500000000e+00 inf =   0.000e+00 (186)
*  4386: obj =   2.500000000e+00 inf =   0.000e+00 (193)
*  4413: obj =   2.500000000e+00 inf =   0.000e+00 (154)
*  4436: obj =   2.500000000e+00 inf =   0.000e+00 (194) 1
*  4463: obj =   2.500000000e+00 inf =   0.000e+00 (158)
