GLPSOL--GLPK LP/MIP Solver 5.0
Parameter(s) specified in the command line:
 --lp input/soc-Slashdot0811.html/soc-Slashdot0811.txt.gz.2320.lp -o input/soc-Slashdot0811.html/soc-Slashdot0811.txt.gz.2320.lp.sol
Reading problem data from 'input/soc-Slashdot0811.html/soc-Slashdot0811.txt.gz.2320.lp'...
828164 rows, 1733682 columns, 4140807 non-zeros
1733682 integer variables, all of which are binary
2561851 lines were read
GLPK Integer Optimizer 5.0
828164 rows, 1733682 columns, 4140807 non-zeros
1733682 integer variables, all of which are binary
Preprocessing...
823425 rows, 1728942 columns, 4117024 non-zeros
1728942 integer variables, all of which are binary
Scaling...
 A: min|aij| =  1.000e+00  max|aij| =  1.000e+00  ratio =  1.000e+00
Problem data seem to be well scaled
Constructing initial basis...
Size of triangular part is 823425
Solving LP relaxation...
GLPK Simplex Optimizer 5.0
823425 rows, 1728942 columns, 4117024 non-zeros
      0: obj =   0.000000000e+00 inf =   2.326e+03 (2326)
     94: obj =   8.908085700e+01 inf =   2.232e+03 (2232)
    182: obj =   1.725701550e+02 inf =   2.144e+03 (2144)
    281: obj =   2.674030900e+02 inf =   2.045e+03 (2045)
    378: obj =   3.568141090e+02 inf =   1.948e+03 (1948)
    479: obj =   4.489760200e+02 inf =   1.847e+03 (1847)
    578: obj =   5.391307960e+02 inf =   1.748e+03 (1748)
    665: obj =   6.200285350e+02 inf =   1.661e+03 (1661)
    757: obj =   7.048087550e+02 inf =   1.569e+03 (1569)
    853: obj =   7.925313000e+02 inf =   1.473e+03 (1473)
    953: obj =   8.847156050e+02 inf =   1.373e+03 (1373)
   1054: obj =   9.784718440e+02 inf =   1.272e+03 (1272)
   1148: obj =   1.064511088e+03 inf =   1.178e+03 (1178)
   1237: obj =   1.145869593e+03 inf =   1.089e+03 (1089)
   1330: obj =   1.230462540e+03 inf =   9.960e+02 (996)
   1429: obj =   1.320233645e+03 inf =   8.970e+02 (897)
   1531: obj =   1.412638913e+03 inf =   7.950e+02 (795)
   1628: obj =   1.499938352e+03 inf =   6.980e+02 (698)
   1723: obj =   1.585448653e+03 inf =   6.030e+02 (603)
   1811: obj =   1.664612142e+03 inf =   5.150e+02 (515)
   1905: obj =   1.749198742e+03 inf =   4.210e+02 (421)
   2002: obj =   1.836491442e+03 inf =   3.240e+02 (324)
   2099: obj =   1.923849546e+03 inf =   2.270e+02 (227)
   2201: obj =   2.015682478e+03 inf =   1.250e+02 (125)
   2292: obj =   2.097832890e+03 inf =   3.400e+01 (34)
   2326: obj =   2.128481123e+03 inf =   0.000e+00 (0)
*  2431: obj =   2.126969827e+03 inf =   0.000e+00 (2430)
Perturbing LP to avoid stalling [2526]...
*  2545: obj =   2.126969827e+03 inf =   0.000e+00 (2544)
*  2653: obj =   2.126969827e+03 inf =   0.000e+00 (2652)
*  2766: obj =   2.126969827e+03 inf =   0.000e+00 (2765)
*  2870: obj =   2.126969827e+03 inf =   0.000e+00 (2869)
*  2968: obj =   2.126969827e+03 inf =   0.000e+00 (2967)
*  3074: obj =   2.126969827e+03 inf =   0.000e+00 (3073)
*  3181: obj =   2.126969827e+03 inf =   0.000e+00 (3180)
*  3293: obj =   2.126969827e+03 inf =   0.000e+00 (3292)
*  3399: obj =   2.126969827e+03 inf =   0.000e+00 (3328)
*  3487: obj =   2.126969827e+03 inf =   0.000e+00 (3334) 1
*  3571: obj =   2.126969827e+03 inf =   0.000e+00 (3337) 1
*  3658: obj =   2.126969827e+03 inf =   0.000e+00 (3347) 1
*  3749: obj =   2.126969827e+03 inf =   0.000e+00 (3351)
*  3834: obj =   2.126969827e+03 inf =   0.000e+00 (3348) 1
*  3916: obj =   2.126969827e+03 inf =   0.000e+00 (3346) 1
*  3992: obj =   2.126969827e+03 inf =   0.000e+00 (3371) 1
*  4067: obj =   2.126969827e+03 inf =   0.000e+00 (3377)
*  4142: obj =   2.126969827e+03 inf =   0.000e+00 (3382) 1
*  4224: obj =   2.126969827e+03 inf =   0.000e+00 (3402) 1
*  4301: obj =   2.126969827e+03 inf =   0.000e+00 (3387) 1
*  4385: obj =   2.126969827e+03 inf =   0.000e+00 (3396)
*  4457: obj =   2.126969827e+03 inf =   0.000e+00 (3402) 1
*  4524: obj =   2.126969827e+03 inf =   0.000e+00 (3398) 1
*  4603: obj =   2.126969827e+03 inf =   0.000e+00 (3397)
*  4678: obj =   2.126969827e+03 inf =   0.000e+00 (3446) 1
*  4754: obj =   2.126969827e+03 inf =   0.000e+00 (3457) 1
*  4830: obj =   2.126969827e+03 inf =   0.000e+00 (3458) 1
*  4901: obj =   2.126969827e+03 inf =   0.000e+00 (3446)
*  4968: obj =   2.126969827e+03 inf =   0.000e+00 (3441) 1
*  5038: obj =   2.126969827e+03 inf =   0.000e+00 (3454) 1
*  5115: obj =   2.126969827e+03 inf =   0.000e+00 (3463)
*  5190: obj =   2.126969827e+03 inf =   0.000e+00 (3449) 1
*  5262: obj =   2.126969827e+03 inf =   0.000e+00 (3458) 1
*  5334: obj =   2.126969827e+03 inf =   0.000e+00 (3464)
*  5397: obj =   2.126969827e+03 inf =   0.000e+00 (3473) 1
