GLPSOL--GLPK LP/MIP Solver 5.0
Parameter(s) specified in the command line:
 --lp input/soc-Slashdot0902.html/soc-Slashdot0902.txt.gz.940.lp -o input/soc-Slashdot0902.html/soc-Slashdot0902.txt.gz.940.lp.sol
Reading problem data from 'input/soc-Slashdot0902.html/soc-Slashdot0902.txt.gz.940.lp'...
870164 rows, 1822490 columns, 4350807 non-zeros
1822490 integer variables, all of which are binary
2692659 lines were read
GLPK Integer Optimizer 5.0
870164 rows, 1822490 columns, 4350807 non-zeros
1822490 integer variables, all of which are binary
Preprocessing...
865402 rows, 1817727 columns, 4326901 non-zeros
1817727 integer variables, all of which are binary
Scaling...
 A: min|aij| =  1.000e+00  max|aij| =  1.000e+00  ratio =  1.000e+00
Problem data seem to be well scaled
Constructing initial basis...
Size of triangular part is 865402
Solving LP relaxation...
GLPK Simplex Optimizer 5.0
865402 rows, 1817727 columns, 4326901 non-zeros
      0: obj =   0.000000000e+00 inf =   2.354e+03 (2354)
     74: obj =   7.075444300e+01 inf =   2.280e+03 (2280)
    153: obj =   1.458277340e+02 inf =   2.201e+03 (2201)
    242: obj =   2.305017820e+02 inf =   2.112e+03 (2112)
    326: obj =   3.092506960e+02 inf =   2.028e+03 (2028)
    408: obj =   3.867424020e+02 inf =   1.946e+03 (1946)
    490: obj =   4.643806800e+02 inf =   1.864e+03 (1864)
    572: obj =   5.394105080e+02 inf =   1.782e+03 (1782)
    654: obj =   6.144176210e+02 inf =   1.700e+03 (1700)
    736: obj =   6.898992540e+02 inf =   1.618e+03 (1618)
    818: obj =   7.659648380e+02 inf =   1.536e+03 (1536)
    900: obj =   8.410736910e+02 inf =   1.454e+03 (1454)
    982: obj =   9.169122920e+02 inf =   1.372e+03 (1372)
   1064: obj =   9.930948260e+02 inf =   1.290e+03 (1290)
   1145: obj =   1.068143619e+03 inf =   1.209e+03 (1209)
   1227: obj =   1.143479852e+03 inf =   1.127e+03 (1127)
   1308: obj =   1.217668319e+03 inf =   1.046e+03 (1046)
   1394: obj =   1.296160415e+03 inf =   9.600e+02 (960)
   1484: obj =   1.378380493e+03 inf =   8.700e+02 (870)
   1567: obj =   1.453617556e+03 inf =   7.870e+02 (787)
   1649: obj =   1.527804629e+03 inf =   7.050e+02 (705)
   1731: obj =   1.602011266e+03 inf =   6.230e+02 (623)
   1813: obj =   1.676137501e+03 inf =   5.410e+02 (541)
   1895: obj =   1.750347500e+03 inf =   4.590e+02 (459)
   1978: obj =   1.825435804e+03 inf =   3.760e+02 (376)
   2060: obj =   1.899649952e+03 inf =   2.940e+02 (294)
   2142: obj =   1.973881286e+03 inf =   2.120e+02 (212)
   2224: obj =   2.048124471e+03 inf =   1.300e+02 (130)
   2306: obj =   2.122629408e+03 inf =   4.800e+01 (48)
   2354: obj =   2.166364492e+03 inf =   0.000e+00 (0)
*  2450: obj =   2.163445093e+03 inf =   0.000e+00 (2448)
*  2546: obj =   2.163445093e+03 inf =   0.000e+00 (2544)
Perturbing LP to avoid stalling [2555]...
*  2648: obj =   2.163445093e+03 inf =   0.000e+00 (2646)
*  2747: obj =   2.163445093e+03 inf =   0.000e+00 (2745)
*  2838: obj =   2.163445093e+03 inf =   0.000e+00 (2806)
*  2917: obj =   2.163445093e+03 inf =   0.000e+00 (2809) 1
*  3001: obj =   2.163445093e+03 inf =   0.000e+00 (2820)
*  3080: obj =   2.163445093e+03 inf =   0.000e+00 (2825) 1
*  3158: obj =   2.163445093e+03 inf =   0.000e+00 (2823) 1
*  3237: obj =   2.163445093e+03 inf =   0.000e+00 (2830) 1
*  3313: obj =   2.163445093e+03 inf =   0.000e+00 (2830)
*  3384: obj =   2.163445093e+03 inf =   0.000e+00 (2835) 1
*  3454: obj =   2.163445093e+03 inf =   0.000e+00 (2834) 1
*  3527: obj =   2.163445093e+03 inf =   0.000e+00 (2854)
*  3596: obj =   2.163445093e+03 inf =   0.000e+00 (2848) 1
*  3664: obj =   2.163445093e+03 inf =   0.000e+00 (2859) 1
*  3737: obj =   2.163445093e+03 inf =   0.000e+00 (2862)
*  3810: obj =   2.163445093e+03 inf =   0.000e+00 (2870) 1
*  3878: obj =   2.163445093e+03 inf =   0.000e+00 (2871) 1
*  3949: obj =   2.163445093e+03 inf =   0.000e+00 (2866)
*  4016: obj =   2.163445093e+03 inf =   0.000e+00 (2886) 1
*  4083: obj =   2.163445093e+03 inf =   0.000e+00 (2894) 1
*  4153: obj =   2.163445093e+03 inf =   0.000e+00 (2899)
*  4219: obj =   2.163445093e+03 inf =   0.000e+00 (2909) 1
*  4288: obj =   2.163445093e+03 inf =   0.000e+00 (2925)
*  4353: obj =   2.163445093e+03 inf =   0.000e+00 (2933) 1
*  4417: obj =   2.163445093e+03 inf =   0.000e+00 (2935) 1
*  4485: obj =   2.163445093e+03 inf =   0.000e+00 (2938)
*  4549: obj =   2.163445093e+03 inf =   0.000e+00 (2940) 1
*  4613: obj =   2.163445093e+03 inf =   0.000e+00 (2939) 1
*  4680: obj =   2.163445093e+03 inf =   0.000e+00 (2928)
*  4749: obj =   2.163445093e+03 inf =   0.000e+00 (2943) 1
*  4816: obj =   2.163445093e+03 inf =   0.000e+00 (2951) 1
*  4882: obj =   2.163445093e+03 inf =   0.000e+00 (2942)
*  4946: obj =   2.163445093e+03 inf =   0.000e+00 (2936) 1
*  5013: obj =   2.163445093e+03 inf =   0.000e+00 (2931)
*  5075: obj =   2.163445093e+03 inf =   0.000e+00 (2944) 1
*  5139: obj =   2.163445093e+03 inf =   0.000e+00 (2943) 1
*  5206: obj =   2.163445093e+03 inf =   0.000e+00 (2953)
*  5269: obj =   2.163445093e+03 inf =   0.000e+00 (2970) 1
*  5335: obj =   2.163445093e+03 inf =   0.000e+00 (2978)
*  5397: obj =   2.163445093e+03 inf =   0.000e+00 (2982) 1
*  5458: obj =   2.163445093e+03 inf =   0.000e+00 (3008) 1
*  5523: obj =   2.163445093e+03 inf =   0.000e+00 (3008)
*  5584: obj =   2.163445093e+03 inf =   0.000e+00 (3012) 1
*  5650: obj =   2.163445093e+03 inf =   0.000e+00 (3012)
*  5717: obj =   2.163445093e+03 inf =   0.000e+00 (3008) 1
*  5777: obj =   2.163445093e+03 inf =   0.000e+00 (3012) 1
