GLPSOL--GLPK LP/MIP Solver 5.0
Parameter(s) specified in the command line:
 --lp input/soc-sign-epinions.html/soc-sign-epinions.txt.gz.1442.lp -o input/soc-sign-epinions.html/soc-sign-epinions.txt.gz.1442.lp.sol
Reading problem data from 'input/soc-sign-epinions.html/soc-sign-epinions.txt.gz.1442.lp'...
840802 rows, 1813178 columns, 4203997 non-zeros
1813178 integer variables, all of which are binary
2653985 lines were read
GLPK Integer Optimizer 5.0
840802 rows, 1813178 columns, 4203997 non-zeros
1813178 integer variables, all of which are binary
Preprocessing...
1 hidden packing inequaliti(es) were detected
840628 rows, 1813004 columns, 4197759 non-zeros
1813004 integer variables, all of which are binary
Scaling...
 A: min|aij| =  1.000e+00  max|aij| =  1.000e+00  ratio =  1.000e+00
Problem data seem to be well scaled
Constructing initial basis...
Size of triangular part is 840628
Solving LP relaxation...
GLPK Simplex Optimizer 5.0
840628 rows, 1813004 columns, 4197759 non-zeros
      0: obj =   0.000000000e+00 inf =   3.478e+03 (3478)
     82: obj =   6.302072900e+01 inf =   3.396e+03 (3396)
    164: obj =   1.205935460e+02 inf =   3.314e+03 (3314)
    246: obj =   1.803761710e+02 inf =   3.232e+03 (3232)
    328: obj =   2.386578930e+02 inf =   3.150e+03 (3150)
    410: obj =   2.959051900e+02 inf =   3.068e+03 (3068)
    492: obj =   3.519239370e+02 inf =   2.986e+03 (2986)
    575: obj =   4.103156060e+02 inf =   2.903e+03 (2903)
    657: obj =   4.674749450e+02 inf =   2.821e+03 (2821)
    739: obj =   5.244003270e+02 inf =   2.739e+03 (2739)
    821: obj =   5.807099930e+02 inf =   2.657e+03 (2657)
    902: obj =   6.362548740e+02 inf =   2.576e+03 (2576)
    984: obj =   6.925872420e+02 inf =   2.494e+03 (2494)
   1067: obj =   7.487696510e+02 inf =   2.411e+03 (2411)
   1149: obj =   8.043345420e+02 inf =   2.329e+03 (2329)
   1231: obj =   8.599183520e+02 inf =   2.247e+03 (2247)
   1312: obj =   9.140158670e+02 inf =   2.166e+03 (2166)
   1392: obj =   9.676649320e+02 inf =   2.086e+03 (2086)
   1472: obj =   1.021124559e+03 inf =   2.006e+03 (2006)
   1549: obj =   1.072983433e+03 inf =   1.929e+03 (1929)
   1628: obj =   1.126369880e+03 inf =   1.850e+03 (1850)
   1711: obj =   1.181882674e+03 inf =   1.767e+03 (1767)
   1794: obj =   1.237657550e+03 inf =   1.684e+03 (1684)
   1877: obj =   1.292917824e+03 inf =   1.601e+03 (1601)
   1960: obj =   1.348583468e+03 inf =   1.518e+03 (1518)
   2042: obj =   1.403312739e+03 inf =   1.436e+03 (1436)
   2124: obj =   1.458124202e+03 inf =   1.354e+03 (1354)
   2206: obj =   1.512722440e+03 inf =   1.272e+03 (1272)
   2288: obj =   1.567492450e+03 inf =   1.190e+03 (1190)
   2370: obj =   1.621717400e+03 inf =   1.108e+03 (1108)
   2453: obj =   1.676931895e+03 inf =   1.025e+03 (1025)
   2536: obj =   1.732331684e+03 inf =   9.420e+02 (942)
   2619: obj =   1.787211642e+03 inf =   8.590e+02 (859)
   2703: obj =   1.842463987e+03 inf =   7.750e+02 (775)
   2785: obj =   1.896507067e+03 inf =   6.930e+02 (693)
   2869: obj =   1.951772212e+03 inf =   6.090e+02 (609)
   2952: obj =   2.006312408e+03 inf =   5.260e+02 (526)
   3035: obj =   2.060713456e+03 inf =   4.430e+02 (443)
   3118: obj =   2.115080982e+03 inf =   3.600e+02 (360)
   3201: obj =   2.169394071e+03 inf =   2.770e+02 (277)
   3284: obj =   2.223694177e+03 inf =   1.940e+02 (194)
   3367: obj =   2.277932820e+03 inf =   1.110e+02 (111)
   3450: obj =   2.332197774e+03 inf =   2.800e+01 (28)
   3478: obj =   2.350555380e+03 inf =   0.000e+00 (0)
*  3574: obj =   2.350555380e+03 inf =   0.000e+00 (3573)
*  3672: obj =   2.347362337e+03 inf =   0.000e+00 (3653)
Perturbing LP to avoid stalling [3680]...
*  3754: obj =   2.347362337e+03 inf =   0.000e+00 (3665)
*  3826: obj =   2.347362337e+03 inf =   0.000e+00 (3667) 1
*  3897: obj =   2.347362337e+03 inf =   0.000e+00 (3669) 1
*  3971: obj =   2.347362337e+03 inf =   0.000e+00 (3672)
*  4033: obj =   2.347362337e+03 inf =   0.000e+00 (3676) 1
*  4097: obj =   2.347362337e+03 inf =   0.000e+00 (3684) 1
*  4168: obj =   2.347362337e+03 inf =   0.000e+00 (3696)
*  4235: obj =   2.347362337e+03 inf =   0.000e+00 (3689) 1
*  4304: obj =   2.347362337e+03 inf =   0.000e+00 (3690) 1
*  4374: obj =   2.347362337e+03 inf =   0.000e+00 (3706)
*  4439: obj =   2.347362337e+03 inf =   0.000e+00 (3715) 1
*  4508: obj =   2.347362337e+03 inf =   0.000e+00 (3724)
*  4573: obj =   2.347362337e+03 inf =   0.000e+00 (3724) 1
*  4638: obj =   2.347362337e+03 inf =   0.000e+00 (3728) 1
*  4706: obj =   2.347362337e+03 inf =   0.000e+00 (3730)
*  4771: obj =   2.347362337e+03 inf =   0.000e+00 (3742) 1
*  4837: obj =   2.347362337e+03 inf =   0.000e+00 (3760) 1
*  4906: obj =   2.347362337e+03 inf =   0.000e+00 (3746)
*  4970: obj =   2.347362337e+03 inf =   0.000e+00 (3745) 1
*  5037: obj =   2.347362337e+03 inf =   0.000e+00 (3752)
*  5100: obj =   2.347362337e+03 inf =   0.000e+00 (3743) 1
*  5163: obj =   2.347362337e+03 inf =   0.000e+00 (3748) 1
*  5231: obj =   2.347362337e+03 inf =   0.000e+00 (3741)
*  5294: obj =   2.347362337e+03 inf =   0.000e+00 (3750) 1
*  5358: obj =   2.347362337e+03 inf =   0.000e+00 (3764) 1
*  5425: obj =   2.347362337e+03 inf =   0.000e+00 (3746)
*  5488: obj =   2.347362337e+03 inf =   0.000e+00 (3749) 1
*  5556: obj =   2.347362337e+03 inf =   0.000e+00 (3771)
*  5618: obj =   2.347362337e+03 inf =   0.000e+00 (3777) 1
*  5680: obj =   2.347362337e+03 inf =   0.000e+00 (3767) 1
*  5745: obj =   2.347362337e+03 inf =   0.000e+00 (3778)
*  5806: obj =   2.347362337e+03 inf =   0.000e+00 (3800) 1
*  5870: obj =   2.347362337e+03 inf =   0.000e+00 (3818)
*  5925: obj =   2.347362337e+03 inf =   0.000e+00 (3806) 1
*  5984: obj =   2.347362337e+03 inf =   0.000e+00 (3820)
*  6044: obj =   2.347362337e+03 inf =   0.000e+00 (3824) 1
*  6106: obj =   2.347362337e+03 inf =   0.000e+00 (3835)
*  6165: obj =   2.347362337e+03 inf =   0.000e+00 (3835) 1
*  6224: obj =   2.347362337e+03 inf =   0.000e+00 (3832) 1
*  6285: obj =   2.347362337e+03 inf =   0.000e+00 (3838)
*  6343: obj =   2.347362337e+03 inf =   0.000e+00 (3844) 1
*  6404: obj =   2.347362337e+03 inf =   0.000e+00 (3840)
*  6461: obj =   2.347362337e+03 inf =   0.000e+00 (3834) 1
*  6522: obj =   2.347362337e+03 inf =   0.000e+00 (3839)
*  6578: obj =   2.347362337e+03 inf =   0.000e+00 (3838) 1
*  6638: obj =   2.347362337e+03 inf =   0.000e+00 (3845)
*  6694: obj =   2.347362337e+03 inf =   0.000e+00 (3847) 1
*  6750: obj =   2.347362337e+03 inf =   0.000e+00 (3846) 1
*  6809: obj =   2.347362337e+03 inf =   0.000e+00 (3848)
*  6865: obj =   2.347362337e+03 inf =   0.000e+00 (3852) 1
*  6924: obj =   2.347362337e+03 inf =   0.000e+00 (3851)
