GLPSOL--GLPK LP/MIP Solver 5.0
Parameter(s) specified in the command line:
 --lp input/sx-askubuntu.html/sx-askubuntu-a2q.txt.gz.174.lp -o input/sx-askubuntu.html/sx-askubuntu-a2q.txt.gz.174.lp.sol
Reading problem data from 'input/sx-askubuntu.html/sx-askubuntu-a2q.txt.gz.174.lp'...
247256 rows, 628541 columns, 1236267 non-zeros
628541 integer variables, all of which are binary
875802 lines were read
GLPK Integer Optimizer 5.0
247256 rows, 628541 columns, 1236267 non-zeros
628541 integer variables, all of which are binary
Preprocessing...
1 hidden packing inequaliti(es) were detected
246531 rows, 627724 columns, 1230737 non-zeros
627724 integer variables, all of which are binary
Scaling...
 A: min|aij| =  1.000e+00  max|aij| =  1.000e+00  ratio =  1.000e+00
Problem data seem to be well scaled
Constructing initial basis...
Size of triangular part is 246531
Solving LP relaxation...
GLPK Simplex Optimizer 5.0
246531 rows, 627724 columns, 1230737 non-zeros
      0: obj =   0.000000000e+00 inf =   5.890e+02 (589)
    454: obj =   6.065493760e+11 inf =   1.350e+02 (135)
    589: obj =   7.956470956e+11 inf =   0.000e+00 (0)
Perturbing LP to avoid stalling [788]...
*  1072: obj =   7.956470956e+11 inf =   0.000e+00 (1072)
*  1505: obj =   7.927335747e+11 inf =   0.000e+00 (1191) 2
*  1898: obj =   7.927335747e+11 inf =   0.000e+00 (1205) 4
*  2276: obj =   7.927335747e+11 inf =   0.000e+00 (1223) 4
*  2650: obj =   7.927335747e+11 inf =   0.000e+00 (1212) 3
*  3012: obj =   7.927335747e+11 inf =   0.000e+00 (1227) 4
*  3367: obj =   7.927335747e+11 inf =   0.000e+00 (1235) 3
*  3714: obj =   7.927335747e+11 inf =   0.000e+00 (1260) 3
*  4055: obj =   7.927335747e+11 inf =   0.000e+00 (1271) 3
*  4388: obj =   7.927335747e+11 inf =   0.000e+00 (1286) 3
*  4712: obj =   7.927335747e+11 inf =   0.000e+00 (1278) 4
*  5033: obj =   7.927335747e+11 inf =   0.000e+00 (1285) 3
*  5350: obj =   7.927335747e+11 inf =   0.000e+00 (1288) 3
*  5662: obj =   7.927335747e+11 inf =   0.000e+00 (1320) 3
*  5974: obj =   7.927335747e+11 inf =   0.000e+00 (1328) 3
*  6283: obj =   7.927335747e+11 inf =   0.000e+00 (1308) 2
*  6583: obj =   7.927335747e+11 inf =   0.000e+00 (1313) 3
*  6881: obj =   7.927335747e+11 inf =   0.000e+00 (1336) 3
*  7175: obj =   7.927335747e+11 inf =   0.000e+00 (1335) 3
*  7464: obj =   7.927335747e+11 inf =   0.000e+00 (1348) 3
*  7751: obj =   7.927335747e+11 inf =   0.000e+00 (1366) 3
*  8037: obj =   7.758211124e+11 inf =   0.000e+00 (5075) 2
*  8329: obj =   7.733075030e+11 inf =   0.000e+00 (5085) 3
*  8621: obj =   7.733075029e+11 inf =   2.490e-07 (5059) 3
*  8923: obj =   7.399535842e+11 inf =   1.799e-04 (5009) 3
*  9270: obj =   7.392404282e+11 inf =   1.119e-03 (4899) 3
*  9742: obj =   4.389857201e+11 inf =   1.090e-03 (4725) 1
* 10095: obj =   4.267842572e+11 inf =   1.880e-03 (4710) 3
* 10417: obj =   4.267842276e+11 inf =   2.827e-03 (4689) 3
* 10733: obj =   4.240840215e+11 inf =   4.032e-03 (4690) 3
* 11065: obj =   4.096537298e+11 inf =   2.815e-03 (4614) 3
* 11448: obj =   3.018477642e+11 inf =   2.811e-03 (7601) 1
* 11791: obj =   2.923908954e+11 inf =   4.087e-03 (913) 3
* 12039: obj =   2.923907609e+11 inf =   8.919e-03 (982) 2
* 12294: obj =   2.909403882e+11 inf =   8.638e-03 (4406) 2
* 12554: obj =   2.904446807e+11 inf =   8.452e-03 (4336) 3
* 12848: obj =   2.802534675e+11 inf =   1.001e-02 (7433) 2
* 13134: obj =   2.802528414e+11 inf =   1.189e-02 (7312) 3
* 13440: obj =   2.708489603e+11 inf =   1.140e-02 (7063) 2
* 13747: obj =   2.654752669e+11 inf =   1.134e-02 (7004) 1
* 14050: obj =   2.564514922e+11 inf =   1.198e-02 (4178) 3
* 14380: obj =   2.373270406e+11 inf =   1.219e-02 (6372) 3
* 14683: obj =   2.333260290e+11 inf =   1.178e-02 (6042) 2
* 14987: obj =   2.297026974e+11 inf =   1.203e-02 (3647) 3
* 15335: obj =   2.199733847e+11 inf =   1.120e-02 (5662) 2
* 15698: obj =   2.186420010e+11 inf =   1.198e-02 (5478) 1
* 16049: obj =   2.186419715e+11 inf =   1.221e-02 (5333) 3
* 16375: obj =   2.173106157e+11 inf =   1.464e-02 (5257) 3
* 16732: obj =   2.173105900e+11 inf =   1.455e-02 (4971)
* 17049: obj =   2.173105673e+11 inf =   1.661e-02 (4802) 3
* 17392: obj =   2.146580200e+11 inf =   1.819e-02 (4671) 2
* 17748: obj =   2.146579757e+11 inf =   1.807e-02 (4371) 1
* 18038: obj =   2.146579330e+11 inf =   2.278e-02 (4253) 3
* 18366: obj =   2.119883799e+11 inf =   2.469e-02 (4238) 3
* 18697: obj =   2.119882899e+11 inf =   2.617e-02 (3943) 1
* 18984: obj =   2.119882384e+11 inf =   3.711e-02 (3820) 2
* 19309: obj =   2.093285592e+11 inf =   3.995e-02 (1288) 3
* 19637: obj =   2.093273621e+11 inf =   4.275e-02 (3668) 2
* 19935: obj =   2.093272563e+11 inf =   4.802e-02 (3525) 2
* 20251: obj =   2.093271318e+11 inf =   5.481e-02 (3409) 2
* 20552: obj =   2.093269964e+11 inf =   5.939e-02 (3275) 2
* 20824: obj =   2.093268405e+11 inf =   6.368e-02 (3167) 2
* 21109: obj =   2.093267812e+11 inf =   5.637e-02 (3125) 2
* 21396: obj =   2.093266744e+11 inf =   6.454e-02 (3022) 3
* 21670: obj =   2.093265034e+11 inf =   7.965e-02 (2946) 2
* 21953: obj =   2.093263030e+11 inf =   8.759e-02 (2849) 2
* 22261: obj =   2.066678270e+11 inf =   8.662e-02 (1638) 3
* 22576: obj =   2.066677849e+11 inf =   8.731e-02 (1611) 3
* 22894: obj =   2.053357318e+11 inf =   8.738e-02 (2946) 2
* 23167: obj =   2.053356966e+11 inf =   7.414e-02 (2779) 3
* 23433: obj =   2.053355093e+11 inf =   7.948e-02 (2720) 2
* 23710: obj =   2.053352588e+11 inf =   8.900e-02 (2647) 2
* 23972: obj =   2.053351371e+11 inf =   9.421e-02 (2587) 2
* 24260: obj =   2.053349041e+11 inf =   9.958e-02 (2524) 2
* 24526: obj =   2.053346421e+11 inf =   1.005e-01 (2456) 2
* 24790: obj =   2.053344401e+11 inf =   1.053e-01 (2407) 2
* 25053: obj =   2.053344194e+11 inf =   1.083e-01 (2371) 3
* 25330: obj =   2.053341363e+11 inf =   1.121e-01 (2346) 2
* 25596: obj =   2.053339181e+11 inf =   1.140e-01 (2322) 2
* 25822: obj =   2.053338636e+11 inf =   1.169e-01 (2297) 2
* 26072: obj =   2.053338006e+11 inf =   1.248e-01 (2236) 3
* 26329: obj =   2.053336406e+11 inf =   1.274e-01 (2202) 2
* 26595: obj =   2.053334617e+11 inf =   1.294e-01 (2197) 2
* 26818: obj =   2.053334362e+11 inf =   1.298e-01 (2197) 2
* 27050: obj =   2.053333725e+11 inf =   1.310e-01 (2193) 3
* 27284: obj =   2.053333644e+11 inf =   1.318e-01 (2198) 2
* 27581: obj =   2.053331227e+11 inf =   1.339e-01 (2102) 2
* 27799: obj =   2.053331197e+11 inf =   1.333e-01 (2128) 3
* 28026: obj =   2.053331081e+11 inf =   1.348e-01 (2142) 2
* 28280: obj =   2.053330925e+11 inf =   1.346e-01 (2105) 2
* 28525: obj =   2.053330017e+11 inf =   1.346e-01 (2094) 2
* 28741: obj =   2.053329919e+11 inf =   1.349e-01 (2092) 2
* 28956: obj =   2.053329845e+11 inf =   1.354e-01 (2103) 3
* 29182: obj =   2.053329671e+11 inf =   1.380e-01 (2133) 2
* 29403: obj =   2.053329546e+11 inf =   1.389e-01 (2131) 2
* 29644: obj =   2.053327530e+11 inf =   1.385e-01 (2104) 2
* 29859: obj =   2.053327004e+11 inf =   1.379e-01 (2119) 2
* 30081: obj =   2.053326728e+11 inf =   1.421e-01 (2119) 2
* 30294: obj =   2.053326676e+11 inf =   1.421e-01 (2122) 2
* 30510: obj =   2.053326671e+11 inf =   1.410e-01 (2107) 2
* 30727: obj =   2.053326656e+11 inf =   1.397e-01 (2131) 2
* 30935: obj =   2.053326551e+11 inf =   1.408e-01 (2146) 2
* 31150: obj =   2.053326448e+11 inf =   1.418e-01 (2129) 2
* 31362: obj =   2.053326394e+11 inf =   1.414e-01 (2120) 2
