GLPSOL--GLPK LP/MIP Solver 5.0
Parameter(s) specified in the command line:
 --lp input/sx-mathoverflow.html/sx-mathoverflow-c2a.txt.gz.108.lp -o input/sx-mathoverflow.html/sx-mathoverflow-c2a.txt.gz.108.lp.sol
Reading problem data from 'input/sx-mathoverflow.html/sx-mathoverflow-c2a.txt.gz.108.lp'...
77215 rows, 168202 columns, 386062 non-zeros
168202 integer variables, all of which are binary
245422 lines were read
GLPK Integer Optimizer 5.0
77215 rows, 168202 columns, 386062 non-zeros
168202 integer variables, all of which are binary
Preprocessing...
1 hidden packing inequaliti(es) were detected
76606 rows, 167565 columns, 382298 non-zeros
167565 integer variables, all of which are binary
Scaling...
 A: min|aij| =  1.000e+00  max|aij| =  1.000e+00  ratio =  1.000e+00
Problem data seem to be well scaled
Constructing initial basis...
Size of triangular part is 76606
Solving LP relaxation...
GLPK Simplex Optimizer 5.0
76606 rows, 167565 columns, 382298 non-zeros
      0: obj =   0.000000000e+00 inf =   7.840e+02 (784)
    784: obj =   1.065338965e+12 inf =   0.000e+00 (0)
Perturbing LP to avoid stalling [983]...
*  2102: obj =   1.060968717e+12 inf =   0.000e+00 (1590) 4
*  2953: obj =   1.060968717e+12 inf =   0.000e+00 (1633) 8
*  3697: obj =   1.060968717e+12 inf =   0.000e+00 (1655) 8
*  4401: obj =   1.060968717e+12 inf =   0.000e+00 (1674) 6
*  5076: obj =   1.060968717e+12 inf =   0.000e+00 (1686) 7
*  5745: obj =   1.060968717e+12 inf =   0.000e+00 (1700) 6
*  6423: obj =   1.060968717e+12 inf =   0.000e+00 (1719) 7
*  7093: obj =   1.060968717e+12 inf =   0.000e+00 (1750) 6
*  7762: obj =   1.060968717e+12 inf =   0.000e+00 (1773) 6
*  8430: obj =   1.060968717e+12 inf =   0.000e+00 (1783) 7
*  9098: obj =   1.060968717e+12 inf =   0.000e+00 (1805) 6
*  9760: obj =   1.060968717e+12 inf =   0.000e+00 (1814) 7
* 10427: obj =   1.060968717e+12 inf =   0.000e+00 (1850) 6
* 11090: obj =   1.060968717e+12 inf =   0.000e+00 (1870) 7
* 11750: obj =   1.060968717e+12 inf =   0.000e+00 (1873) 6
* 12408: obj =   1.060968717e+12 inf =   0.000e+00 (1905) 6
* 13060: obj =   1.060968717e+12 inf =   0.000e+00 (1928) 7
* 13710: obj =   1.060968717e+12 inf =   0.000e+00 (1939) 6
* 14363: obj =   1.060968717e+12 inf =   0.000e+00 (1951) 6
* 15006: obj =   1.060968717e+12 inf =   0.000e+00 (1971) 7
* 15649: obj =   1.060968717e+12 inf =   0.000e+00 (1997) 6
* 16292: obj =   1.060968717e+12 inf =   0.000e+00 (2011) 6
* 16925: obj =   1.060968717e+12 inf =   0.000e+00 (2012) 7
* 17561: obj =   1.060968717e+12 inf =   0.000e+00 (2012) 6
* 18195: obj =   1.060968717e+12 inf =   0.000e+00 (2036) 6
* 18821: obj =   1.060968717e+12 inf =   0.000e+00 (2041) 6
* 19445: obj =   1.060968717e+12 inf =   0.000e+00 (2049) 6
* 19848: obj =   1.044545723e+12 inf =   7.475e-05 (10579) 4
* 20193: obj =   1.044545705e+12 inf =   2.097e-03 (10544) 4
* 20564: obj =   1.044545662e+12 inf =   4.718e-03 (10521) 4
* 20968: obj =   1.044545612e+12 inf =   8.286e-03 (10480) 4
* 21372: obj =   1.044545566e+12 inf =   1.174e-02 (10439) 4
* 21741: obj =   1.044545500e+12 inf =   1.747e-02 (10390) 3
* 22079: obj =   1.044545457e+12 inf =   2.087e-02 (10367) 4
* 22431: obj =   1.044545395e+12 inf =   2.930e-02 (10341) 3
* 22788: obj =   1.044545371e+12 inf =   3.038e-02 (10325) 4
* 23158: obj =   1.044545224e+12 inf =   3.926e-02 (10316) 3
* 23496: obj =   1.044545132e+12 inf =   4.695e-02 (10317) 4
* 23856: obj =   1.044545071e+12 inf =   5.106e-02 (10306) 3
* 24205: obj =   1.044544963e+12 inf =   5.645e-02 (10298) 4
* 24587: obj =   1.044544951e+12 inf =   5.594e-02 (10249) 3
* 24913: obj =   1.044544927e+12 inf =   5.658e-02 (10227) 4
* 25290: obj =   1.044544824e+12 inf =   5.683e-02 (10213) 3
* 25620: obj =   1.044544721e+12 inf =   5.980e-02 (10210) 4
* 25944: obj =   1.044544537e+12 inf =   7.110e-02 (10184) 3
* 26279: obj =   1.044544425e+12 inf =   7.605e-02 (10145) 3
* 26612: obj =   1.044544367e+12 inf =   8.015e-02 (10142) 3
* 26934: obj =   1.044544309e+12 inf =   8.092e-02 (10117) 4
* 27267: obj =   1.044544199e+12 inf =   8.305e-02 (10104) 3
* 27617: obj =   1.044544131e+12 inf =   8.474e-02 (10086) 3
* 27944: obj =   1.044544043e+12 inf =   8.924e-02 (10057) 4
* 28304: obj =   1.044543955e+12 inf =   9.376e-02 (10047) 3
* 28624: obj =   1.044543825e+12 inf =   1.037e-01 (10028) 3
* 28954: obj =   1.044543816e+12 inf =   1.032e-01 (10039) 4
* 29301: obj =   1.044543786e+12 inf =   1.041e-01 (10020) 3
* 29638: obj =   1.044543671e+12 inf =   1.045e-01 (10016) 3
* 29964: obj =   1.044543488e+12 inf =   1.107e-01 (10026) 4
* 30314: obj =   1.044543380e+12 inf =   1.127e-01 (9995) 3
* 30614: obj =   1.044543159e+12 inf =   1.273e-01 (9991) 3
* 30934: obj =   1.044543116e+12 inf =   1.309e-01 (9974) 3
* 31248: obj =   1.044543019e+12 inf =   1.363e-01 (9958) 3
* 31563: obj =   1.044542969e+12 inf =   1.375e-01 (9954) 3
* 31856: obj =   1.044542833e+12 inf =   1.474e-01 (9959) 3
* 32169: obj =   1.044542700e+12 inf =   1.555e-01 (9933) 3
* 32474: obj =   1.044542537e+12 inf =   1.637e-01 (9919) 3
* 32792: obj =   1.044542511e+12 inf =   1.649e-01 (9924) 4
* 33096: obj =   1.044542455e+12 inf =   1.670e-01 (9899) 3
* 33399: obj =   1.044542305e+12 inf =   1.793e-01 (9891) 3
* 33733: obj =   1.044542279e+12 inf =   1.794e-01 (9883) 3
* 34065: obj =   1.044542236e+12 inf =   1.777e-01 (9893) 3
* 34406: obj =   1.044542173e+12 inf =   1.768e-01 (9883) 3
* 34714: obj =   1.044542139e+12 inf =   1.752e-01 (9859) 4
* 35045: obj =   1.044542075e+12 inf =   1.740e-01 (9845) 3
* 35345: obj =   1.044542013e+12 inf =   1.767e-01 (9833) 3
* 35656: obj =   1.044541959e+12 inf =   1.753e-01 (9852) 3
* 35962: obj =   1.042624026e+12 inf =   1.735e-01 (9831) 3
* 36287: obj =   1.042623991e+12 inf =   1.723e-01 (9801) 3
* 36580: obj =   1.042623953e+12 inf =   1.700e-01 (9761) 3
* 36890: obj =   1.039512015e+12 inf =   1.692e-01 (9757) 3
* 37181: obj =   1.039511957e+12 inf =   1.679e-01 (9769) 3
* 37450: obj =   1.039511864e+12 inf =   1.717e-01 (9751) 3
* 37773: obj =   1.023588952e+12 inf =   1.724e-01 (9778) 3
* 38064: obj =   1.023588894e+12 inf =   1.713e-01 (9749) 3
* 38367: obj =   1.023588849e+12 inf =   1.690e-01 (9748) 3
* 38670: obj =   1.023588752e+12 inf =   1.653e-01 (9716) 3
* 38983: obj =   1.004230999e+12 inf =   1.639e-01 (9721) 3
* 39286: obj =   1.004230921e+12 inf =   1.667e-01 (9709) 3
* 39594: obj =   1.002118099e+12 inf =   1.671e-01 (9727) 3
* 39896: obj =   1.002118041e+12 inf =   1.631e-01 (9712) 3
* 40199: obj =   1.002117967e+12 inf =   1.665e-01 (9711) 3
* 40502: obj =   1.002117930e+12 inf =   1.670e-01 (9684) 3
* 40974: obj =   7.809843949e+11 inf =   1.634e-01 (9599) 3
* 41277: obj =   7.809843391e+11 inf =   1.638e-01 (9604) 3
* 41593: obj =   7.809843231e+11 inf =   1.630e-01 (9561) 3
* 41899: obj =   7.809842709e+11 inf =   1.614e-01 (9534) 3
* 42190: obj =   7.809842033e+11 inf =   1.567e-01 (9533) 3
* 42507: obj =   7.809841624e+11 inf =   1.554e-01 (9516) 3
* 42806: obj =   7.809841076e+11 inf =   1.511e-01 (9488) 3
* 43104: obj =   7.809840244e+11 inf =   1.475e-01 (9493) 3
* 43400: obj =   7.767193997e+11 inf =   1.458e-01 (9464) 3
* 43703: obj =   7.750551818e+11 inf =   1.424e-01 (9445) 3
* 44008: obj =   7.736041335e+11 inf =   1.413e-01 (9478) 3
* 44311: obj =   7.736040418e+11 inf =   1.447e-01 (9455) 3
* 44614: obj =   7.717674319e+11 inf =   1.442e-01 (9445) 3
* 44917: obj =   7.717674169e+11 inf =   1.440e-01 (9453) 3
