GLPSOL--GLPK LP/MIP Solver 5.0
Parameter(s) specified in the command line:
 --lp input/sx-stackoverflow.html/sx-stackoverflow-c2a.txt.gz.3521.lp -o input/sx-stackoverflow.html/sx-stackoverflow-c2a.txt.gz.3521.lp.sol
Reading problem data from 'input/sx-stackoverflow.html/sx-stackoverflow-c2a.txt.gz.3521.lp'...
10952127 rows, 23544009 columns, 54760622 non-zeros
23544009 integer variables, all of which are binary
34496141 lines were read
GLPK Integer Optimizer 5.0
10952127 rows, 23544009 columns, 54760622 non-zeros
23544009 integer variables, all of which are binary
Preprocessing...
1 hidden packing inequaliti(es) were detected
10941883 rows, 23533435 columns, 54692699 non-zeros
23533435 integer variables, all of which are binary
Scaling...
 A: min|aij| =  1.000e+00  max|aij| =  1.000e+00  ratio =  1.000e+00
Problem data seem to be well scaled
Constructing initial basis...
Size of triangular part is 10941883
Solving LP relaxation...
GLPK Simplex Optimizer 5.0
10941883 rows, 23533435 columns, 54692699 non-zeros
      0: obj =   0.000000000e+00 inf =   2.192e+04 (21918)
      7: obj =   8.706569332e+09 inf =   2.191e+04 (21911)
     15: obj =   1.879588580e+10 inf =   2.190e+04 (21903)
     22: obj =   2.750058611e+10 inf =   2.190e+04 (21896)
     31: obj =   3.858788484e+10 inf =   2.189e+04 (21887)
     37: obj =   4.611229079e+10 inf =   2.188e+04 (21881)
     44: obj =   5.476704991e+10 inf =   2.187e+04 (21874)
     51: obj =   6.370792015e+10 inf =   2.187e+04 (21867)
     59: obj =   7.372580944e+10 inf =   2.186e+04 (21859)
     67: obj =   8.365537574e+10 inf =   2.185e+04 (21851)
     76: obj =   9.497065393e+10 inf =   2.184e+04 (21842)
     85: obj =   1.062966066e+11 inf =   2.183e+04 (21833)
     93: obj =   1.162786849e+11 inf =   2.182e+04 (21825)
    100: obj =   1.249364753e+11 inf =   2.182e+04 (21818)
    108: obj =   1.349079051e+11 inf =   2.181e+04 (21810)
    117: obj =   1.461435601e+11 inf =   2.180e+04 (21801)
    126: obj =   1.572775920e+11 inf =   2.179e+04 (21792)
    135: obj =   1.684855507e+11 inf =   2.178e+04 (21783)
    144: obj =   1.796044706e+11 inf =   2.177e+04 (21774)
    153: obj =   1.908203284e+11 inf =   2.176e+04 (21765)
    162: obj =   2.020874638e+11 inf =   2.176e+04 (21756)
    171: obj =   2.132633543e+11 inf =   2.175e+04 (21747)
    180: obj =   2.243566298e+11 inf =   2.174e+04 (21738)
    189: obj =   2.356171365e+11 inf =   2.173e+04 (21729)
    198: obj =   2.469833302e+11 inf =   2.172e+04 (21720)
    207: obj =   2.582341642e+11 inf =   2.171e+04 (21711)
    216: obj =   2.695949409e+11 inf =   2.170e+04 (21702)
    225: obj =   2.808724112e+11 inf =   2.169e+04 (21693)
    234: obj =   2.922715208e+11 inf =   2.168e+04 (21684)
    243: obj =   3.033497958e+11 inf =   2.168e+04 (21675)
    252: obj =   3.145149218e+11 inf =   2.167e+04 (21666)
    261: obj =   3.256386753e+11 inf =   2.166e+04 (21657)
    270: obj =   3.368638438e+11 inf =   2.165e+04 (21648)
    279: obj =   3.480441922e+11 inf =   2.164e+04 (21639)
    288: obj =   3.594816454e+11 inf =   2.163e+04 (21630)
    297: obj =   3.708877253e+11 inf =   2.162e+04 (21621)
    305: obj =   3.809476961e+11 inf =   2.161e+04 (21613)
    314: obj =   3.921183391e+11 inf =   2.160e+04 (21604)
    323: obj =   4.032523673e+11 inf =   2.160e+04 (21595)
    332: obj =   4.147905708e+11 inf =   2.159e+04 (21586)
    341: obj =   4.260963132e+11 inf =   2.158e+04 (21577)
    350: obj =   4.373205516e+11 inf =   2.157e+04 (21568)
    359: obj =   4.484837444e+11 inf =   2.156e+04 (21559)
    368: obj =   4.598014808e+11 inf =   2.155e+04 (21550)
    377: obj =   4.710992783e+11 inf =   2.154e+04 (21541)
    385: obj =   4.812949449e+11 inf =   2.153e+04 (21533)
    394: obj =   4.928178915e+11 inf =   2.152e+04 (21524)
    403: obj =   5.039575475e+11 inf =   2.152e+04 (21515)
    412: obj =   5.152711231e+11 inf =   2.151e+04 (21506)
    421: obj =   5.266815425e+11 inf =   2.150e+04 (21497)
    430: obj =   5.379739758e+11 inf =   2.149e+04 (21488)
    439: obj =   5.492096022e+11 inf =   2.148e+04 (21479)
    448: obj =   5.603286370e+11 inf =   2.147e+04 (21470)
    457: obj =   5.717138478e+11 inf =   2.146e+04 (21461)
    466: obj =   5.830255761e+11 inf =   2.145e+04 (21452)
    475: obj =   5.944683940e+11 inf =   2.144e+04 (21443)
    484: obj =   6.056106803e+11 inf =   2.143e+04 (21434)
    493: obj =   6.169776803e+11 inf =   2.142e+04 (21425)
    502: obj =   6.283516521e+11 inf =   2.142e+04 (21416)
    511: obj =   6.396316118e+11 inf =   2.141e+04 (21407)
    520: obj =   6.510067346e+11 inf =   2.140e+04 (21398)
    529: obj =   6.622064112e+11 inf =   2.139e+04 (21389)
    538: obj =   6.733818652e+11 inf =   2.138e+04 (21380)
    547: obj =   6.847106111e+11 inf =   2.137e+04 (21371)
    556: obj =   6.959219024e+11 inf =   2.136e+04 (21362)
    565: obj =   7.071924335e+11 inf =   2.135e+04 (21353)
    574: obj =   7.185478734e+11 inf =   2.134e+04 (21344)
    583: obj =   7.297016460e+11 inf =   2.134e+04 (21335)
    592: obj =   7.409351325e+11 inf =   2.133e+04 (21326)
    601: obj =   7.523227778e+11 inf =   2.132e+04 (21317)
    610: obj =   7.638143962e+11 inf =   2.131e+04 (21308)
    619: obj =   7.752193376e+11 inf =   2.130e+04 (21299)
    628: obj =   7.866021553e+11 inf =   2.129e+04 (21290)
    637: obj =   7.979707161e+11 inf =   2.128e+04 (21281)
    646: obj =   8.091511048e+11 inf =   2.127e+04 (21272)
    655: obj =   8.207057973e+11 inf =   2.126e+04 (21263)
    664: obj =   8.318414685e+11 inf =   2.125e+04 (21254)
    673: obj =   8.429528705e+11 inf =   2.124e+04 (21245)
