GLPSOL--GLPK LP/MIP Solver 5.0
Parameter(s) specified in the command line:
 --lp input/sx-stackoverflow.html/sx-stackoverflow-c2q.txt.gz.1029.lp -o input/sx-stackoverflow.html/sx-stackoverflow-c2q.txt.gz.1029.lp.sol
Reading problem data from 'input/sx-stackoverflow.html/sx-stackoverflow-c2q.txt.gz.1029.lp'...
10106824 rows, 21841277 columns, 50534107 non-zeros
21841277 integer variables, all of which are binary
31948106 lines were read
GLPK Integer Optimizer 5.0
10106824 rows, 21841277 columns, 50534107 non-zeros
21841277 integer variables, all of which are binary
Preprocessing...
1 hidden packing inequaliti(es) were detected
10106553 rows, 21840991 columns, 50505379 non-zeros
21840991 integer variables, all of which are binary
Scaling...
 A: min|aij| =  1.000e+00  max|aij| =  1.000e+00  ratio =  1.000e+00
Problem data seem to be well scaled
Constructing initial basis...
Size of triangular part is 10106553
Solving LP relaxation...
GLPK Simplex Optimizer 5.0
10106553 rows, 21840991 columns, 50505379 non-zeros
      0: obj =   0.000000000e+00 inf =   1.474e+03 (1474)
      9: obj =   1.242513601e+10 inf =   1.465e+03 (1465)
     18: obj =   2.459389947e+10 inf =   1.456e+03 (1456)
     27: obj =   3.704962468e+10 inf =   1.447e+03 (1447)
     36: obj =   4.943171745e+10 inf =   1.438e+03 (1438)
     45: obj =   6.186235646e+10 inf =   1.429e+03 (1429)
     54: obj =   7.417714494e+10 inf =   1.420e+03 (1420)
     63: obj =   8.651860323e+10 inf =   1.411e+03 (1411)
     72: obj =   9.878341145e+10 inf =   1.402e+03 (1402)
     81: obj =   1.111141697e+11 inf =   1.393e+03 (1393)
     90: obj =   1.235296346e+11 inf =   1.384e+03 (1384)
    100: obj =   1.369573091e+11 inf =   1.374e+03 (1374)
    110: obj =   1.507317739e+11 inf =   1.364e+03 (1364)
    120: obj =   1.644880667e+11 inf =   1.354e+03 (1354)
    130: obj =   1.783778944e+11 inf =   1.344e+03 (1344)
    140: obj =   1.922965682e+11 inf =   1.334e+03 (1334)
    150: obj =   2.059898115e+11 inf =   1.324e+03 (1324)
    160: obj =   2.196905754e+11 inf =   1.314e+03 (1314)
    170: obj =   2.335066035e+11 inf =   1.304e+03 (1304)
    180: obj =   2.472274164e+11 inf =   1.294e+03 (1294)
    190: obj =   2.607502905e+11 inf =   1.284e+03 (1284)
    199: obj =   2.733720409e+11 inf =   1.275e+03 (1275)
    209: obj =   2.870673963e+11 inf =   1.265e+03 (1265)
    219: obj =   3.008159498e+11 inf =   1.255e+03 (1255)
    229: obj =   3.146061302e+11 inf =   1.245e+03 (1245)
    239: obj =   3.284929623e+11 inf =   1.235e+03 (1235)
    249: obj =   3.422189517e+11 inf =   1.225e+03 (1225)
    259: obj =   3.560164447e+11 inf =   1.215e+03 (1215)
    269: obj =   3.696774889e+11 inf =   1.205e+03 (1205)
    279: obj =   3.835711819e+11 inf =   1.195e+03 (1195)
    289: obj =   3.973994397e+11 inf =   1.185e+03 (1185)
    299: obj =   4.111718721e+11 inf =   1.175e+03 (1175)
    309: obj =   4.250190598e+11 inf =   1.165e+03 (1165)
    319: obj =   4.385957401e+11 inf =   1.155e+03 (1155)
    329: obj =   4.520760358e+11 inf =   1.145e+03 (1145)
    339: obj =   4.658536360e+11 inf =   1.135e+03 (1135)
    349: obj =   4.796472727e+11 inf =   1.125e+03 (1125)
    359: obj =   4.934010904e+11 inf =   1.115e+03 (1115)
    369: obj =   5.068980177e+11 inf =   1.105e+03 (1105)
    379: obj =   5.207840836e+11 inf =   1.095e+03 (1095)
    389: obj =   5.345262618e+11 inf =   1.085e+03 (1085)
    399: obj =   5.484705321e+11 inf =   1.075e+03 (1075)
    409: obj =   5.620988901e+11 inf =   1.065e+03 (1065)
    419: obj =   5.757006988e+11 inf =   1.055e+03 (1055)
    429: obj =   5.894963290e+11 inf =   1.045e+03 (1045)
    439: obj =   6.032913073e+11 inf =   1.035e+03 (1035)
    449: obj =   6.170544310e+11 inf =   1.025e+03 (1025)
    459: obj =   6.309032869e+11 inf =   1.015e+03 (1015)
    469: obj =   6.443781665e+11 inf =   1.005e+03 (1005)
    479: obj =   6.581118533e+11 inf =   9.950e+02 (995)
    489: obj =   6.718218970e+11 inf =   9.850e+02 (985)
    499: obj =   6.855284334e+11 inf =   9.750e+02 (975)
    509: obj =   6.994090364e+11 inf =   9.650e+02 (965)
    519: obj =   7.131827077e+11 inf =   9.550e+02 (955)
    529: obj =   7.270247343e+11 inf =   9.450e+02 (945)
    539: obj =   7.409716738e+11 inf =   9.350e+02 (935)
    549: obj =   7.547414002e+11 inf =   9.250e+02 (925)
    559: obj =   7.683286632e+11 inf =   9.150e+02 (915)
    569: obj =   7.818755327e+11 inf =   9.050e+02 (905)
    579: obj =   7.955840769e+11 inf =   8.950e+02 (895)
    589: obj =   8.092963811e+11 inf =   8.850e+02 (885)
    599: obj =   8.229959919e+11 inf =   8.750e+02 (875)
    609: obj =   8.364860738e+11 inf =   8.650e+02 (865)
    619: obj =   8.500309112e+11 inf =   8.550e+02 (855)
    629: obj =   8.636750216e+11 inf =   8.450e+02 (845)
    639: obj =   8.772668484e+11 inf =   8.350e+02 (835)
    649: obj =   8.909121817e+11 inf =   8.250e+02 (825)
    659: obj =   9.047777007e+11 inf =   8.150e+02 (815)
    669: obj =   9.186700101e+11 inf =   8.050e+02 (805)
    679: obj =   9.322034049e+11 inf =   7.950e+02 (795)
    689: obj =   9.459099114e+11 inf =   7.850e+02 (785)
    699: obj =   9.596283378e+11 inf =   7.750e+02 (775)
    709: obj =   9.734877401e+11 inf =   7.650e+02 (765)
    719: obj =   9.871020880e+11 inf =   7.550e+02 (755)
    729: obj =   1.000971093e+12 inf =   7.450e+02 (745)
    739: obj =   1.014642523e+12 inf =   7.350e+02 (735)
    749: obj =   1.028295553e+12 inf =   7.250e+02 (725)
    759: obj =   1.042028544e+12 inf =   7.150e+02 (715)
    769: obj =   1.055671363e+12 inf =   7.050e+02 (705)
    779: obj =   1.069236285e+12 inf =   6.950e+02 (695)
    789: obj =   1.082918184e+12 inf =   6.850e+02 (685)
    799: obj =   1.096733667e+12 inf =   6.750e+02 (675)
    809: obj =   1.110589684e+12 inf =   6.650e+02 (665)
    819: obj =   1.124438520e+12 inf =   6.550e+02 (655)
    829: obj =   1.138338746e+12 inf =   6.450e+02 (645)
    839: obj =   1.152184850e+12 inf =   6.350e+02 (635)
    849: obj =   1.165929268e+12 inf =   6.250e+02 (625)
    859: obj =   1.179714692e+12 inf =   6.150e+02 (615)
    869: obj =   1.193495064e+12 inf =   6.050e+02 (605)
    879: obj =   1.207302567e+12 inf =   5.950e+02 (595)
    889: obj =   1.221168574e+12 inf =   5.850e+02 (585)
    899: obj =   1.235052997e+12 inf =   5.750e+02 (575)
    909: obj =   1.248833846e+12 inf =   5.650e+02 (565)
    919: obj =   1.262721459e+12 inf =   5.550e+02 (555)
    929: obj =   1.276610176e+12 inf =   5.450e+02 (545)
    939: obj =   1.290411356e+12 inf =   5.350e+02 (535)
    949: obj =   1.304307110e+12 inf =   5.250e+02 (525)
    959: obj =   1.318108844e+12 inf =   5.150e+02 (515)
    969: obj =   1.331937190e+12 inf =   5.050e+02 (505)
    979: obj =   1.345826653e+12 inf =   4.950e+02 (495)
    989: obj =   1.359654334e+12 inf =   4.850e+02 (485)
    999: obj =   1.373625172e+12 inf =   4.750e+02 (475)
   1009: obj =   1.387578195e+12 inf =   4.650e+02 (465)
   1019: obj =   1.401577544e+12 inf =   4.550e+02 (455)
   1029: obj =   1.415446135e+12 inf =   4.450e+02 (445)
   1039: obj =   1.429444066e+12 inf =   4.350e+02 (435)
   1049: obj =   1.443338646e+12 inf =   4.250e+02 (425)
   1059: obj =   1.457260083e+12 inf =   4.150e+02 (415)
   1069: obj =   1.471330391e+12 inf =   4.050e+02 (405)
   1079: obj =   1.485247087e+12 inf =   3.950e+02 (395)
   1089: obj =   1.499070086e+12 inf =   3.850e+02 (385)
   1099: obj =   1.512996295e+12 inf =   3.750e+02 (375)
   1109: obj =   1.526738580e+12 inf =   3.650e+02 (365)
   1119: obj =   1.540752701e+12 inf =   3.550e+02 (355)
   1129: obj =   1.554668922e+12 inf =   3.450e+02 (345)
   1139: obj =   1.568676826e+12 inf =   3.350e+02 (335)
   1149: obj =   1.582609283e+12 inf =   3.250e+02 (325)
   1159: obj =   1.596733595e+12 inf =   3.150e+02 (315)
   1169: obj =   1.610591108e+12 inf =   3.050e+02 (305)
